Site,hum_dist_site,Year,PPQ,X2D_Area,rugosity,terrain_rug,heat_stress,hum_dist,Year.Site
5,VL3,2015,1,17.93151,2.46503,0.089216689,Before,Very Low,2015.5
5,VL3,2015,2,21.48182,2.480632,0.086517695,Before,Very Low,2015.5
5,VL3,2015,3,17.90966,2.378601,0.091666618,Before,Very Low,2015.5
8,M1,2015,1,16.947042,1.834329,0.072484594,Before,Medium,2015.8
8,M1,2015,2,18.929143,2.410756,0.097475179,Before,Medium,2015.8
8,M1,2015,3,19.810733,1.970657,0.060079719,Before,Medium,2015.8
15,VL1,2015,1,14.36929,2.056516849,0.084957541,Before,Very Low,2015.15
15,VL1,2015,2,16.981916,2.86144196,0.108214484,Before,Very Low,2015.15
15,VL1,2015,3,16.287103,2.759473984,0.11102647,Before,Very Low,2015.15
19,VL2,2015,2,16.63339,2.7615,0.120477588,Before,Very Low,2015.19
19,VL2,2015,3,20.491448,2.846539,0.115660298,Before,Very Low,2015.19
32,VH2,2015,1,15.89399,1.548513,0.04878866,Before,Very High,2015.32
32,VH2,2015,2,18.561448,1.690237,0.047493535,Before,Very High,2015.32
32,VH2,2015,3,19.959334,1.692138,0.052233771,Before,Very High,2015.32
27,VH1,2015,1,15.29851,3.23921,0.111135875,Before,Very High,2015.27
27,VH1,2015,2,16.445314,1.978979,0.062552192,Before,Very High,2015.27
27,VH1,2015,3,27.019004,2.306549,0.063073109,Before,Very High,2015.27
30,VH3,2015,1,18.511713,2.046873,0.074219952,Before,Very High,2015.3
30,VH3,2015,2,19.367334,1.839505,0.070156041,Before,Very High,2015.3
30,VH3,2015,3,13.969248,1.480541,0.06100821,Before,Very High,2015.3
34,M3,2015,1,16.472198,2.017837,0.078945541,Before,Medium,2015.34
34,M3,2015,2,15.901259,1.910728,0.080341441,Before,Medium,2015.34
34,M3,2015,3,17.867694,2.054755,0.079864707,Before,Medium,2015.34
35,M2,2015,1,15.435138,1.673823,0.059287536,Before,Medium,2015.35
35,M2,2015,2,19.898775,2.23063,0.072920208,Before,Medium,2015.35
35,M2,2015,3,15.88576,2.384333,0.097652651,Before,Medium,2015.35
5,VL3,2017,1,16.205097,2.118750169,0.06992015,After,Very Low,2017.5
5,VL3,2017,2,17.463297,1.750698966,0.050039602,After,Very Low,2017.5
5,VL3,2017,3,16.475588,1.715974871,0.056181426,After,Very Low,2017.5
8,M1,2017,1,14.017841,1.680704611,0.048196619,After,Medium,2017.8
8,M1,2017,2,18.568978,1.775309444,0.065872665,After,Medium,2017.8
8,M1,2017,3,17.693563,1.658356997,0.055678917,After,Medium,2017.8
15,VL1,2017,1,12.607123,1.983581187,0.061910846,After,Very Low,2017.15
15,VL1,2017,2,14.885542,2.112330609,0.062704763,After,Very Low,2017.15
15,VL1,2017,3,15.244215,2.468169073,0.079961289,After,Very Low,2017.15
19,VL2,2017,2,13.366131,1.818969005,0.05485738,After,Very Low,2017.19
19,VL2,2017,3,16.860536,2.046447456,0.083348923,After,Very Low,2017.19
32,VH2,2017,1,15.350649,1.398087078,0.033168199,After,Very High,2017.32
32,VH2,2017,2,16.718358,1.34597692,0.029098129,After,Very High,2017.32
