Year,hum_dist,site,ppq,digitizer,OBJECTID *,SHAPE *,Benthic_Morphology,SHAPE_Length,SHAPE_Area,Z_Min,Z_Max,Z_Mean,SArea,Min_Slope,Max_Slope,Avg_Slope
2017,Very Low,37,2,LW,1,Polygon,Dead_Massive,140.65733,8.412346,4.127765,4.894958,4.457871,11.750575,0,10000,245.034232
2017,Very Low,37,2,LW,1,Polygon,Dead_Branching,0.644603,0.030145,4.396294,4.505971,4.468136,0.035264,4.55411,855.540366,92.501263
2017,Very Low,37,2,LW,2,Polygon,Live_Encrusting,0.183678,0.002401,4.486399,4.495848,4.491519,0.001549,10.814151,56.187764,20.908113
2017,Very Low,37,2,LW,3,Polygon,Live_Encrusting,0.119252,0.000957,4.433767,4.457939,4.44415,0.00058,16.77082,133.059002,96.681728
2017,Very Low,37,2,LW,4,Polygon,Live_Porites,0.454382,0.012695,4.493545,4.610272,4.575584,0.018969,27.508911,10000,249.142257
2017,Very Low,37,2,LW,5,Polygon,Live_Porites,0.353771,0.008294,4.404091,4.481244,4.435697,0.007624,4.392527,298.621661,68.786819
2017,Very Low,37,2,LW,6,Polygon,Live_Encrusting,0.125472,0.001056,4.455311,4.471756,4.464518,0.000506,17.592151,76.327902,51.456939
2017,Very Low,37,2,LW,7,Polygon,Dead_Branching,1.225852,0.081404,4.430563,4.59858,4.513015,0.119046,3.310627,3995.665572,165.57774
2017,Very Low,37,2,LW,8,Polygon,Live_Porites,6.104909,0.762775,4.261891,4.589429,4.421116,0.971793,0.697338,10000,140.191457
2017,Very Low,37,2,LW,9,Polygon,Dead_Branching,0.873169,0.042959,4.424408,4.593889,4.512239,0.054425,14.244402,5852.048669,101.853667
2017,Very Low,37,2,LW,10,Polygon,Live_Porites,5.752351,0.313775,4.294203,4.709657,4.516915,0.39985,1.508925,10000,148.459299
2017,Very Low,37,2,LW,11,Polygon,Live_Porites,0.08055,0.000051,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
2017,Very Low,37,2,LW,12,Polygon,Macroalgae,0.31576,0.003565,4.439975,4.472858,4.452981,0.002358,5.247438,220.150739,69.904118
2017,Very Low,37,2,LW,13,Polygon,Dead_Branching,1.645089,0.113823,4.548605,4.905639,4.74162,0.308167,9.569304,10000,479.4355
