Year,site,ppq,digitizer,OBJECTID *,SHAPE *,Benthic_Morphology,SHAPE_Length,SHAPE_Area,Z_Min,Z_Max,Z_Mean,SArea,Min_Slope,Max_Slope,Avg_Slope
2019,5,2,NH,1,Polygon,Dead_Massive,157.334793,7.328083,-3.098756,-1.864382,-2.426976,11.599469,0,10000,349.851889
2019,5,2,NH,1,Polygon,Live_Encrusting,0.240159,0.003465,-2.755449,-2.671466,-2.725042,0.004308,21.75802,10000,435.395648
2019,5,2,NH,2,Polygon,Live_Encrusting,0.042846,0.000054,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
2019,5,2,NH,3,Polygon,Live_Encrusting,0.090426,0.000572,-2.725126,-2.718663,-2.72242,0.000116,37.810737,66.132326,52.25257
2019,5,2,NH,4,Polygon,Live_Encrusting,0.065997,0.000264,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
2019,5,2,NH,5,Polygon,Macroalgae,0.347594,0.004576,-2.760097,-2.70557,-2.740827,0.004204,19.103331,717.692855,106.94647
2019,5,2,NH,6,Polygon,Live_Massive,0.059711,0.000174,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
2019,5,2,NH,7,Polygon,Live_Encrusting,0.057951,0.000231,-2.775801,-2.729623,-2.75352,0.000198,580.072717,650.098238,607.480215
2019,5,2,NH,8,Polygon,Macroalgae,0.285863,0.002294,-2.771509,-2.681114,-2.728927,0.002432,51.846102,409.673399,212.291616
2019,5,2,NH,9,Polygon,Macroalgae,0.603434,0.007085,-2.876321,-2.657083,-2.744229,0.012827,17.920304,10000,468.841314
2019,5,2,NH,10,Polygon,Live_Encrusting,0.086381,0.000516,-2.663344,-2.653028,-2.657532,0.000271,69.281975,99.216066,82.229761
2019,5,2,NH,11,Polygon,Live_Massive,0.370113,0.003949,-2.718877,-2.626335,-2.661131,0.004071,15.436645,894.739144,153.273062
2019,5,2,NH,12,Polygon,Macroalgae,0.325242,0.004289,-2.88179,-2.746999,-2.828151,0.007982,27.791625,1032.041316,336.078873
2019,5,2,NH,13,Polygon,Live_Porites,0.140123,0.001357,-2.778804,-2.719098,-2.741411,0.001387,4.754825,719.929149,180.604241
2019,5,2,NH,14,Polygon,Live_Massive,0.111227,0.000694,-2.771073,-2.71848,-2.73895,0.000743,58.390642,10000,994.336131
2019,5,2,NH,15,Polygon,Live_Encrusting,0.106085,0.000799,-2.742831,-2.726913,-2.734498,0.000518,50.514581,217.738005,70.235344
2019,5,2,NH,16,Polygon,Live_Encrusting,0.155751,0.001416,-2.74212,-2.653528,-2.696699,0.002981,14.115612,776.370618,257.976065
2019,5,2,NH,17,Polygon,Dead_Branching,1.204744,0.039544,-2.867953,-2.645718,-2.766395,0.08783,5.679324,9289.853819,393.611541
2019,5,2,NH,18,Polygon,Live_Encrusting,0.067671,0.000249,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
2019,5,2,NH,19,Polygon,Live_Encrusting,0.16032,0.000548,-2.786026,-2.758529,-2.770587,0.000079,114.651903,143.641212,124.181425
2019,5,2,NH,20,Polygon,Macroalgae,0.170322,0.001665,-2.812278,-2.764127,-2.783156,0.001394,24.51181,272.814901,99.54489
2019,5,2,NH,21,Polygon,Macroalgae,4.721362,0.113364,-2.95015,-2.61251,-2.852328,0.173105,3.84418,2544.990315,369.972002
2019,5,2,NH,22,Polygon,Macroalgae,0.261001,0.002663,-2.788206,-2.654591,-2.748028,0.003851,24.076542,10000,572.011409
2019,5,2,NH,23,Polygon,Live_Encrusting,0.107813,0.000779,-2.777504,-2.759767,-2.769403,0.000344,17.438004,103.519524,73.950837
2019,5,2,NH,24,Polygon,Live_Encrusting,0.157505,0.001321,-2.833308,-2.808942,-2.825314,0.000684,4.561326,992.083178,85.603843
2019,5,2,NH,25,Polygon,Live_Encrusting,0.100407,0.000556,-2.826493,-2.799603,-2.81342,0.000783,143.320781,198.338152,165.378796
2019,5,2,NH,26,Polygon,Live_Encrusting,0.203198,0.00161,-2.743709,-2.571439,-2.662537,0.003761,31.88892,1136.424536,633.349416
2019,5,2,NH,27,Polygon,Live_Branching,0.586104,0.017575,-2.914584,-2.785397,-2.824573,0.032792,10.142865,1651.592062,270.098435
2019,5,2,NH,28,Polygon,Live_Encrusting,0.169924,0.001241,-2.871493,-2.837197,-2.853775,0.000892,52.420286,1180.082572,134.007517
2019,5,2,NH,29,Polygon,Live_Encrusting,0.044358,0.00014,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
2019,5,2,NH,30,Polygon,Live_Encrusting,0.050621,0.000162,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
