year,hum_dist,site,plot,User Processing files,DEM & ORTHO UPLOAD COMPLETE,DEM.scale,PLOT SHAPEFILE CREATED,PLOT AREA DIGITIZED,CLIP DEM RASTER TO SHAPEFILE AREA FOR STRUCTURAL ANALYSES,OBJECTID *,SHAPE *,SHAPE_Length,SHAPE_Area,Z_Min,Z_Max,Z_Mean,SArea,Min_Slope,Max_Slope,Avg_Slope,Complexity Calculation,surface.rugosity,CREATE BTM SLOPE RASTER,slope,CREATE BTM VRM RASTER,Avg_terrain_ruggedness (VRM),CREATE CURVATURE RASTERS,average.curvature,profile.curvature,planform.curvature
2015,Very Low,5,1,KB,X,1,X,X,X,4,Polygon,16.08288,16.00663,2.34505,3.91687,3.18498,37.82685,0.37205,10000,511.6871,2.3632,2.3632,X,45.09501,X,0.09005,X,28.43096,-284.45926,-256.0283
2015,Very Low,5,2,KB,X,1,X,X,X,1,Polygon,16.43139,16.02239,2.51523,3.63571,3.07838,35.68076,0.42953,10000,624.13755,2.22693,2.22693,X,42.37826,X,0.08478,X,-10.46839,-417.36999,-427.83836
2015,Very Low,5,3,KB,X,1,X,X,X,2,Polygon,16.1687,16.01333,9.0978,10.40339,9.81672,31.64109,0.51692,10000,334.80886,1.97592,1.97592,X,42.54374,X,0.07094,X,10.22411,-134.63692,-124.41281
2015,Very High,27,1,KB,X,1,X,X,X,1,Polygon,16.38272,15.99876,2.7399,3.46321,2.92289,24.52567,0.09079,10000,265.8099,1.53297,1.53297,X,33.17317,X,0.04484,X,-13.73462,286.98938,273.25477
2015,Very High,27,2,KB,X,1,X,X,X,1,Polygon,16.0267,16.00535,2.73997,4.04865,3.33607,24.4374,0,10000,220.51013,1.52683,1.52683,X,34.77378,X,0.04193,X,5.20763,219.90472,225.11235
2015,Very High,27,3,KB,X,1,X,X,X,1,Polygon,16.06943,16.00504,2.75037,3.38735,3.03863,23.67035,0,10000,184.7023,1.47893,1.47893,X,33.96084,X,0.04562,X,6.4818,230.87942,237.36122
2015,Very High,30,1,KB,X,1,X,X,X,1,Polygon,16.46594,16.00174,-3.16538,-1.72209,-2.57738,37.65534,0.4693,10000,737.60774,2.3532,2.3532,X,43.21291,X,0.076,X,51.41088,-47.73393,3.67696
2015,Very High,30,2,KB,X,1,X,X,X,1,Polygon,16.01098,15.99807,1.29456,3.17623,2.06252,30.39497,0.8075,10000,470.22159,1.89991,1.89991,X,39.27384,X,0.05724,X,5.43773,224.84395,230.28169
2015,Very High,30,3,KB,X,1,X,X,X,1,Polygon,16.20806,16.01118,2.14238,2.9674,2.5143,28.66715,0.16954,10000,362.23487,1.79045,1.79045,X,39.02366,X,0.0592,X,-16.91448,300.99317,284.0787
2015,Medium,8,1,KB,X,1,X,X,X,1,Polygon,16.01544,16.00881,2.95059,4.07242,3.46223,28.69766,0.42504,10000,258.52368,1.79262,1.79262,X,40.60266,X,0.07319,X,28.69497,34.64098,63.33595
