"","year.site.ppq","DEM","area_2d","area_3d","rug","vrm","curv","pro.curv","plan.curv","year","hum_dist","region","pub.site","site","site.ppq","ppq"
"1","2015.27.1",1,15.99876,24.52567,1.53297,0.04484,-13.73462,286.98938,273.25477,"2015","Very High","N.Lagoon","VH1","27","27.1",1
"2","2015.27.2",1,16.00535,24.4374,1.52683,0.04193,5.20763,219.90472,225.11235,"2015","Very High","N.Lagoon","VH1","27","27.2",2
"3","2015.27.3",1,16.00504,23.67035,1.47893,0.04562,6.4818,230.87942,237.36122,"2015","Very High","N.Lagoon","VH1","27","27.3",3
"4","2015.30.1",1,16.00174,37.65534,2.3532,0.076,51.41088,-47.73393,3.67696,"2015","Very High","N.Lagoon","VH3","30","30.1",1
"5","2015.30.2",1,15.99807,30.39497,1.89991,0.05724,5.43773,224.84395,230.28169,"2015","Very High","N.Lagoon","VH3","30","30.2",2
"6","2015.30.3",1,16.01118,28.66715,1.79045,0.0592,-16.91448,300.99317,284.0787,"2015","Very High","N.Lagoon","VH3","30","30.3",3
"7","2015.32.1",1,16.0083,29.16348,1.82177,0.06613,11.92347,-6.66107,5.2624,"2015","Very High","N.Lagoon","VH2","32","32.1",1
"8","2015.32.2",1,16.0163,25.65525,1.60182,0.06237,-5.27156,178.06504,172.79348,"2015","Very High","N.Lagoon","VH2","32","32.2",2
"9","2015.32.3",1,16.00447,24.53674,1.53312,0.05346,-3.01614,185.98534,182.9692,"2015","Very High","N.Lagoon","VH2","32","32.3",3
"10","2015.8.1",1,16.00881,28.69766,1.79262,0.07319,28.69497,34.64098,63.33595,"2015","Medium","S.Lagoon","M1","8","8.1",1
"11","2015.8.2",1,16.00972,33.49165,2.09196,0.0909,46.04387,-212.06297,-166.01911,"2015","Medium","S.Lagoon","M1","8","8.2",2
"12","2015.8.3",1,16.01384,28.51803,1.78084,0.06025,-2.54636,103.79142,101.24506,"2015","Medium","S.Lagoon","M1","8","8.3",3
"13","2015.34.1",1,16.00784,30.87631,1.92882,0.06978,-1.99482,95.1055,93.11068,"2015","Medium","S.Lagoon","M3","34","34.1",1
"14","2015.34.2",1,16.0031,28.83118,1.8016,0.06928,31.03026,104.35264,135.3829,"2015","Medium","S.Lagoon","M3","34","34.2",2
"15","2015.34.3",1,16.00392,29.63807,1.85193,0.07234,13.06869,136.25805,149.32673,"2015","Medium","S.Lagoon","M3","34","34.3",3
"16","2015.35.1",1,16.00591,26.39876,1.64931,0.05375,21.92695,131.0193,152.94625,"2015","Medium","S.Lagoon","M2","35","35.1",1
"17","2015.35.2",1,16.00473,31.04983,1.94004,0.06925,48.29471,104.35529,152.65,"2015","Medium","S.Lagoon","M2","35","35.2",2
"18","2015.35.3",1,16.00504,35.81899,2.23798,0.08512,-7.87282,-60.11308,-67.9859,"2015","Medium","S.Lagoon","M2","35","35.3",3
"19","2015.15.1",1,15.98005,33.30464,2.08414,0.08435,-44.0828,-85.80637,-129.88917,"2015","Very Low","BOW","VL1","15","15.1",1
"20","2015.15.2",1,16.00737,44.13456,2.75714,0.10977,-9.93691,-401.93005,-411.86695,"2015","Very Low","BOW","VL1","15","15.2",2
"21","2015.15.3",1,16.00391,44.80773,2.7998,0.11092,1.40888,-346.24354,-344.83466,"2015","Very Low","BOW","VL1","15","15.3",3
"22","2015.19.1",1,16.00236,41.1023,2.56851,0.11073,2.93432,-458.81829,-455.88397,"2015","Very Low","BOW","VL3","19","19.1",1
"23","2015.19.2",1,16.00487,34.78813,2.1736,0.09081,-6.91428,-297.13655,-304.05083,"2015","Very Low","BOW","VL3","19","19.2",2
"24","2015.5.1",1,16.00663,37.82685,2.3632,0.09005,28.43096,-284.45926,-256.0283,"2015","Very Low","Vaskes","VL3","5","5.1",1
"25","2015.5.2",1,16.02239,35.68076,2.22693,0.08478,-10.46839,-417.36999,-427.83836,"2015","Very Low","Vaskes","VL3","5","5.2",2
"26","2015.5.3",1,16.01333,31.64109,1.97592,0.07094,10.22411,-134.63692,-124.41281,"2015","Very Low","Vaskes","VL3","5","5.3",3
"27","2017.27.1",1,15.99916,22.12574,1.38293,0.03328,2.36308,172.73832,175.10139,"2017","Very High","N.Lagoon","VH1","27","27.1",1
"28","2017.27.2",1,16.00492,21.70407,1.35609,0.02947,-13.25693,229.09551,215.83859,"2017","Very High","N.Lagoon","VH1","27","27.2",2
"29","2017.27.3",1,16.00605,20.04707,1.25247,0.02906,3.41371,282.15821,285.57192,"2017","Very High","N.Lagoon","VH1","27","27.3",3
"30","2017.30.1",1,16.00278,32.87309,2.05421,0.04329,13.6836,91.71023,105.39384,"2017","Very High","N.Lagoon","VH3","30","30.1",1
"31","2017.30.2",1,16.00015,27.19796,1.69986,0.05336,4.0591,304.50746,308.56657,"2017","Very High","N.Lagoon","VH3","30","30.2",2
"32","2017.30.3",1,16.01308,26.74248,1.67004,0.04572,1.29156,224.09641,225.38796,"2017","Very High","N.Lagoon","VH3","30","30.3",3
"33","2017.32.1",1,16.011,26.42526,1.65044,0.04613,8.40187,183.18164,191.58351,"2017","Very High","N.Lagoon","VH2","32","32.1",1
"34","2017.32.2",1,16.01346,24.00475,1.49904,0.04968,-0.79867,273.86548,273.0668,"2017","Very High","N.Lagoon","VH2","32","32.2",2
"35","2017.32.3",1,16.00488,23.44271,1.46472,0.05064,5.88784,216.34786,222.2357,"2017","Very High","N.Lagoon","VH2","32","32.3",3
"36","2017.8.1",1,16.00918,27.0783,1.69142,0.04896,23.96221,76.85112,100.81334,"2017","Medium","S.Lagoon","M1","8","8.1",1
"37","2017.8.2",1,16.00633,26.3957,1.64908,0.03515,23.53224,-26.76793,-50.30017,"2017","Medium","S.Lagoon","M1","8","8.2",2
"38","2017.8.3",1,16.01662,24.44879,1.52646,0.03451,5.32557,117.22381,122.54938,"2017","Medium","S.Lagoon","M1","8","8.3",3
"39","2017.34.1",1,16.0096,25.03343,1.56365,0.04137,-12.64641,112.1564,99.51,"2017","Medium","S.Lagoon","M3","34","34.1",1
"40","2017.34.2",1,16.00545,25.48372,1.59219,0.04954,16.52561,102.89498,119.42059,"2017","Medium","S.Lagoon","M3","34","34.2",2
"41","2017.34.3",1,16.00554,23.90772,1.49372,0.0407,10.57697,106.05317,116.63014,"2017","Medium","S.Lagoon","M3","34","34.3",3
"42","2017.35.1",1,16.00533,24.85408,1.55286,0.04088,17.33294,119.59736,136.9303,"2017","Medium","S.Lagoon","M2","35","35.1",1
"43","2017.35.2",1,16.00509,27.13813,1.69559,0.0523,17.12185,244.27292,261.39478,"2017","Medium","S.Lagoon","M2","35","35.2",2
