"","year.site.ppq","area_3d","rug","slope","vrm","curv","pro.curv","plan.curv","hum_dist","region","ppq","year"
"1","2015.5.1",37.82685,2.3632,45.09501,0.09005,28.43096,-284.45926,-256.0283,"Very Low","Vaskes","1","2015"
"2","2015.5.2",35.68076,2.22693,42.37826,0.08478,-10.46839,-417.36999,-427.83836,"Very Low","Vaskes","2","2015"
"3","2015.5.3",31.64109,1.97592,42.54374,0.07094,10.22411,-134.63692,-124.41281,"Very Low","Vaskes","3","2015"
"4","2015.27.1",24.52567,1.53297,33.17317,0.04484,-13.73462,286.98938,273.25477,"Very High","N.Lagoon","1","2015"
"5","2015.27.2",24.4374,1.52683,34.77378,0.04193,5.20763,219.90472,225.11235,"Very High","N.Lagoon","2","2015"
"6","2015.27.3",23.67035,1.47893,33.96084,0.04562,6.4818,230.87942,237.36122,"Very High","N.Lagoon","3","2015"
"7","2015.30.1",37.65534,2.3532,43.21291,0.076,51.41088,-47.73393,3.67696,"Very High","N.Lagoon","1","2015"
"8","2015.30.2",30.39497,1.89991,39.27384,0.05724,5.43773,224.84395,230.28169,"Very High","N.Lagoon","2","2015"
"9","2015.30.3",28.66715,1.79045,39.02366,0.0592,-16.91448,300.99317,284.0787,"Very High","N.Lagoon","3","2015"
"10","2015.8.1",28.69766,1.79262,40.60266,0.07319,28.69497,34.64098,63.33595,"Medium","S.Lagoon","1","2015"
"11","2015.8.2",33.49165,2.09196,42.97828,0.0909,46.04387,-212.06297,-166.01911,"Medium","S.Lagoon","2","2015"
"12","2015.8.3",28.51803,1.78084,39.59888,0.06025,-2.54636,103.79142,101.24506,"Medium","S.Lagoon","3","2015"
"13","2015.32.1",29.16348,1.82177,39.32146,0.06613,11.92347,-6.66107,5.2624,"Very High","N.Lagoon","1","2015"
"14","2015.32.2",25.65525,1.60182,37.76316,0.06237,-5.27156,178.06504,172.79348,"Very High","N.Lagoon","2","2015"
"15","2015.32.3",24.53674,1.53312,35.95609,0.05346,-3.01614,185.98534,182.9692,"Very High","N.Lagoon","3","2015"
"16","2015.34.1",30.87631,1.92882,41.11038,0.06978,-1.99482,95.1055,93.11068,"Medium","S.Lagoon","1","2015"
"17","2015.34.2",28.83118,1.8016,40.56102,0.06928,31.03026,104.35264,135.3829,"Medium","S.Lagoon","2","2015"
"18","2015.34.3",29.63807,1.85193,39.19977,0.07234,13.06869,136.25805,149.32673,"Medium","S.Lagoon","3","2015"
"19","2015.35.1",26.39876,1.64931,37.93477,0.05375,21.92695,131.0193,152.94625,"Medium","S.Lagoon","1","2015"
"20","2015.35.2",31.04983,1.94004,40.59695,0.06925,48.29471,104.35529,152.65,"Medium","S.Lagoon","2","2015"
"21","2015.35.3",35.81899,2.23798,45.31242,0.08512,-7.87282,-60.11308,-67.9859,"Medium","S.Lagoon","3","2015"
"22","2015.15.1",33.30464,2.08414,40.59041,0.08435,-44.0828,-85.80637,-129.88917,"Very Low","BOW","1","2015"
"23","2015.15.2",44.13456,2.75714,43.50351,0.10977,-9.93691,-401.93005,-411.86695,"Very Low","BOW","2","2015"
"24","2015.15.3",44.80773,2.7998,48.73912,0.11092,1.40888,-346.24354,-344.83466,"Very Low","BOW","3","2015"
"25","2015.19.1",41.1023,2.56851,46.56063,0.11073,2.93432,-458.81829,-455.88397,"Very Low","BOW","1","2015"
"26","2015.19.2",34.78813,2.1736,44.48077,0.09081,-6.91428,-297.13655,-304.05083,"Very Low","BOW","2","2015"
"79","2017.5.1",30.73891,1.92041,40.54795,0.04279,-10.00335,99.75357,89.75023,"Very Low","Vaskes","1","2017"
"80","2017.5.2",26.72448,1.66785,36.9366,0.04741,-10.70502,2.74082,-7.96421,"Very Low","Vaskes","2","2017"
"81","2017.5.3",27.25503,1.70191,38.79601,0.04922,8.38089,63.00224,71.38313,"Very Low","Vaskes","3","2017"
"82","2017.27.1",22.12574,1.38293,32.53703,0.03328,2.36308,172.73832,175.10139,"Very High","N.Lagoon","1","2017"
"83","2017.27.2",21.70407,1.35609,29.81524,0.02947,-13.25693,229.09551,215.83859,"Very High","N.Lagoon","2","2017"
"84","2017.27.3",20.04707,1.25247,25.7481,0.02906,3.41371,282.15821,285.57192,"Very High","N.Lagoon","3","2017"
"85","2017.30.1",32.87309,2.05421,42.04636,0.04329,13.6836,91.71023,105.39384,"Very High","N.Lagoon","1","2017"
"86","2017.30.2",27.19796,1.69986,38.93775,0.05336,4.0591,304.50746,308.56657,"Very High","N.Lagoon","2","2017"
"87","2017.30.3",26.74248,1.67004,38.23069,0.04572,1.29156,224.09641,225.38796,"Very High","N.Lagoon","3","2017"
"88","2017.8.1",27.0783,1.69142,39.16657,0.04896,23.96221,76.85112,100.81334,"Medium","S.Lagoon","1","2017"
"89","2017.8.2",26.3957,1.64908,38.23478,0.03515,23.53224,-26.76793,-50.30017,"Medium","S.Lagoon","2","2017"
"90","2017.8.3",24.44879,1.52646,34.62162,0.03451,5.32557,117.22381,122.54938,"Medium","S.Lagoon","3","2017"
"91","2017.32.1",26.42526,1.65044,36.61532,0.04613,8.40187,183.18164,191.58351,"Very High","N.Lagoon","1","2017"
"92","2017.32.2",24.00475,1.49904,35.04543,0.04968,-0.79867,273.86548,273.0668,"Very High","N.Lagoon","2","2017"
"93","2017.32.3",23.44271,1.46472,34.24919,0.05064,5.88784,216.34786,222.2357,"Very High","N.Lagoon","3","2017"
"94","2017.34.1",25.03343,1.56365,37.15255,0.04137,-12.64641,112.1564,99.51,"Medium","S.Lagoon","1","2017"
"95","2017.34.2",25.48372,1.59219,37.82405,0.04954,16.52561,102.89498,119.42059,"Medium","S.Lagoon","2","2017"
"96","2017.34.3",23.90772,1.49372,35.13014,0.0407,10.57697,106.05317,116.63014,"Medium","S.Lagoon","3","2017"
"97","2017.35.1",24.85408,1.55286,37.18678,0.04088,17.33294,119.59736,136.9303,"Medium","S.Lagoon","1","2017"
"98","2017.35.2",27.13813,1.69559,38.43577,0.0523,17.12185,244.27292,261.39478,"Medium","S.Lagoon","2","2017"
"99","2017.35.3",30.07905,1.87939,42.13691,0.05905,24.17648,39.08425,63.26074,"Medium","S.Lagoon","3","2017"
"100","2017.15.1",33.45057,2.09329,41.00587,0.06262,19.88904,139.57547,159.46451,"Very Low","BOW","1","2017"
"101","2017.15.2",33.78148,2.11032,40.86208,0.06277,-9.03247,109.241,100.20853,"Very Low","BOW","2","2017"
"102","2017.15.3",40.29302,2.51754,47.1551,0.08272,5.47032,-34.42839,-28.95806,"Very Low","BOW","3","2017"
"103","2017.19.1",29.14894,1.82126,41.20853,0.05562,-3.07101,20.52698,17.45597,"Very Low","BOW","1","2017"
"104","2017.19.2",32.29352,2.01788,43.48367,0.08233,2.94116,44.81083,47.75199,"Very Low","BOW","2","2017"
"105","2017.19.3",31.3072,1.95644,39.95336,0.07606,-8.95963,134.53407,125.57444,"Very Low","BOW","3","2017"
"106","2017.37.1",25.91964,1.61959,36.45146,0.042,-26.02746,207.29625,181.26879,"Very Low","Vaskes","1","2017"
"107","2017.37.2",25.43161,1.58916,35.77109,0.0402,7.07201,182.91322,189.98523,"Very Low","Vaskes","2","2017"
"108","2017.37.3",30.46148,1.90316,40.56256,0.04898,-0.67385,157.82688,157.15303,"Very Low","Vaskes","3","2017"
