"","year","hum_dist","region","site","ppq","year.site.ppq","Sand","Rubble","Dead","Macroalgae","Non.Coral","SoftCoral","HardCoral"
"1",2015,"Medium","S.Lagoon",8,1,"2015.8.1",0.00273927938008714,0.0882251226921301,0.496333004151694,0.00070110682632602,0.00287958836023736,0.0387598238189826,0.370362074770543
"2",2015,"Medium","S.Lagoon",8,2,"2015.8.2",0,0.0161926286476464,0.354756614333286,0.0129606860999613,0,0.00561937654020066,0.610470694378906
"3",2015,"Medium","S.Lagoon",8,3,"2015.8.3",0.0455427557057313,0.0840516649240709,0.420098780948974,0.00516365746279729,0.000174530161059805,0.0292834759464343,0.415685134850932
"4",2015,"Medium","S.Lagoon",34,1,"2015.34.1",0.00525277442812426,0.0441935453850866,0.445866493549938,0.0151553544215874,1.09925957996917e-05,0.0414990477976178,0.448021791821846
"5",2015,"Medium","S.Lagoon",34,2,"2015.34.2",0.00130892538650415,0.0617260044508962,0.47208229858995,0.0148440686709696,0,0.0252668588190129,0.424771844082667
"6",2015,"Medium","S.Lagoon",34,3,"2015.34.3",0,0.0322518928051293,0.44386739383164,0.0108704967253341,0.166374029237009,0.0192238743171897,0.327412313083698
"7",2015,"Medium","S.Lagoon",35,1,"2015.35.1",0.02487853285493,0.127131769870401,0.381810929497361,0.00133544360535414,0.00266389045326806,0,0.462179433718686
"8",2015,"Medium","S.Lagoon",35,2,"2015.35.2",0.0203092240485213,0.102877156733623,0.39974596289229,0.000498740404026584,0,0.0379205767620708,0.438648339159468
"9",2015,"Medium","S.Lagoon",35,3,"2015.35.3",0.00450190558949386,0.0486635508582759,0.399584839325784,0.00853099832422579,0.0107432476882744,0.00453083164020141,0.523444626573744
"10",2015,"Very High","N.Lagoon",27,1,"2015.27.1",0.0963135391686463,0.796447975240263,0.0710457451389579,0.00332008972404668,0,0,0.032872650728086
"11",2015,"Very High","N.Lagoon",27,2,"2015.27.2",0.051728080168866,0.901361915640471,0.0371683359767582,0.00662259764658139,0,0,0.00311907056732387
"12",2015,"Very High","N.Lagoon",27,3,"2015.27.3",0.0280478476983171,0.8694439447935,0.0955664690005211,0.000423182324839323,0,0,0.00651855618282301
"13",2015,"Very High","N.Lagoon",30,1,"2015.30.1",0.0309251608998657,0.206334868884154,0.345264234190716,0.000590741962302133,0,0.000976650976940923,0.415908343086021
"14",2015,"Very High","N.Lagoon",30,2,"2015.30.2",0.0191336654120789,0.731506606622871,0.0919988313087075,0,0,0,0.157360896656342
