"","year","region","hum_dist","site","pub.site","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Enrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating","NonCoral_Branching"
"1","2015","BOW","Very Low","15","VL1",2.978364,0,3.161135,7.383935,0,0.255026,3.199601,0,0.018708,0.936877,0.037871,17.973975,0.00553,0.196576,0.172489,2.563299,1.650975,6.919725,0,0,0,0,0.567667,0,0,0,0
"2","2015","BOW","Very Low","19","VL3",4.53943,0,0.366658,10.937489,0,0.734281,4.697364,0,0,0.643633,0,7.506157,0.002752,0.040362,0.018171,0.549916,1.208721,0.608053,0.112793,0.012761,0,0.019745,0.012864,0,0,0,0
"3","2015","N.Lagoon","Very High","27","VH1",0.100984,0,0,0.880404,0,0,0.100667,0,0,0.228113,0,0.107555,0.058733,0.105076,0,0.080157,0,0,0.165908,0,0,0,43.376572,2.81828,0,0,0
"4","2015","N.Lagoon","Very High","30","VH3",0.405635,0.013348,0,8.937811,0,0,1.688052,0,0.026291,3.642023,0.049873,0.266355,0.032091,1.70721,0.260286,5.574544,1.049489,0.213394,0.01734,0,0,0,22.378511,1.590856,0.004172,0.254884,0
"5","2015","N.Lagoon","Very High","32","VH2",0.158982,0,0,11.648736,0,0,0.518327,0.007863,0,0.57821,0,0.203919,0.046556,0.27455,0.032159,0.022817,0.009999,0,0.244412,0,0,0.024102,32.724388,1.528236,0.012116,0,0
"6","2015","S.Lagoon","Medium","34","M3",1.718037,0.093497,0,19.988452,0,0,1.480945,0.074406,0.016902,6.234164,0,1.180299,0.155968,3.323692,1.284969,4.539166,0.922432,0,0.654245,0.021928,0.001664,2.640161,2.211773,0.105049,0.311491,1.065077,0
"7","2015","S.Lagoon","Medium","35","M2",1.030719,0,0,13.274169,0,0,2.747703,0.102592,0,4.346194,0,0.697035,0.13001,4.780725,0.96569,7.5901,0.973045,0.19426,0.16591,0.155618,0.016342,0.042642,9.506639,0.744719,0,0.679491,0
"8","2015","S.Lagoon","Medium","8","M1",1.473753,0.143586,0.015362,18.705683,0,0,1.775087,0.035812,0.002185,3.969153,0.123463,2.512065,0.261398,4.862452,1.940226,5.37242,1.487818,0,0.301403,0.001817,0.023731,0.02326,3.015042,0.773112,0.604305,0.573966,0
"9","2015","Vaskes","Very Low","5","VL3",1.41965,0,0.136446,9.379762,0.009025,0,2.351679,0.007685,0.023085,4.633865,0.073525,4.216725,0.44116,3.127172,2.532745,4.459073,2.523169,0,0.877388,0,0.015554,0.126753,3.154373,0.047596,6.317752,2.170912,0
"10","2017","BOW","Very Low","15","VL1",12.73735,0,5.448065,14.254248,0,6.95722,0.037802,0.009312,0,0.241539,0,0.178032,0.004247,0.092277,0,1.313201,0.87289,0,0.163881,0,0,0,5.803744,0.001529,0,0,0
"11","2017","BOW","Very Low","19","VL3",7.482985,0,6.777257,18.900189,0,6.423731,0.009986,0,0,0.184057,0,0.06393,0,0.029048,0,0.242157,0.407872,0,1.99591,0,0,0,5.560706,0.003231,0,0,0
"12","2017","N.Lagoon","Very High","27","VH1",0.032187,0,0,9.014949,0,0,0.00295,0,0,0.005251,0,0,0.050281,0.005391,0,0.008524,0.006329,0,0.451992,0,0,0,34.38359,4.04882,0,0,0
"13","2017","N.Lagoon","Very High","30","VH3",1.291936,0,0,19.486625,0,0,0.015683,0,0,0.146699,0,0,0.03111,0.171177,0,2.557715,1.187273,0,2.17119,0,0,0,19.558978,1.407784,0,0,0
"14","2017","N.Lagoon","Very High","32","VH2",0.335894,0,0,17.748375,0,0,0.026407,0,0,0.019314,0,0.000872,0.007055,0.034647,0,0,0,0,0.148585,0,0.003792,0,26.491255,3.261472,0.005989,0,0
"15","2017","S.Lagoon","Medium","34","M3",3.121469,0,0,18.459307,0,0.292834,0.050534,0,0,0.624811,0,0,0.080894,0.657999,0.015974,1.323321,0.153903,0,20.565554,0,0,0,1.453687,1.385345,0,0,0.013961
