"","year.site.ppq","Dead_Branching","Dead_Columnar","Dead_Foliose","Dead_Massive","Dead_SoftCoral","Dead_Tabulate","Live_Branching","Live_Columnar","Live_Digitate","Live_Encrusting","Live_Enrusting_Columnar","Live_Foliose","Live_FreeLiving","Live_Massive","Live_Massive_Grooved","Live_Porites","Live_SubMassive","Live_Tabulate","Macroalgae","NonCoral_Encrusting","NonCoral_Massive","NonCoral_SubMassive","Rubble","Sand","SoftCoral_Nodular","SoftCoral_Plating","NonCoral_Branching","year","hum_dist","region","site"
"1","2015.8.1",37,8,1,1,0,0,51,5,0,304,1,53,18,150,22,41,30,0,9,1,3,3,90,12,3,4,0,2015,"Medium","S.Lagoon",8
"2","2015.8.2",15,0,1,3,0,0,45,0,0,246,0,57,21,188,31,41,48,0,33,0,0,0,10,0,7,0,0,2015,"Medium","S.Lagoon",8
"3","2015.8.3",12,0,0,1,0,0,20,0,1,131,1,17,7,90,6,49,19,0,30,0,2,0,62,25,9,4,0,2015,"Medium","S.Lagoon",8
"4","2015.34.1",25,2,0,1,0,0,28,1,0,290,0,2,5,141,8,67,19,0,78,0,1,0,60,15,1,6,0,2015,"Medium","S.Lagoon",34
"5","2015.34.2",35,0,0,1,0,0,33,0,2,300,0,41,15,94,8,51,34,0,61,0,0,0,62,1,0,1,0,2015,"Medium","S.Lagoon",34
"6","2015.34.3",24,0,0,1,0,0,47,0,0,222,0,20,3,78,5,59,11,0,96,5,1,5,62,0,2,0,0,2015,"Medium","S.Lagoon",34
"7","2015.35.1",11,0,0,1,0,0,35,1,0,157,0,5,1,84,6,44,13,0,8,0,0,1,102,67,0,0,0,2015,"Medium","S.Lagoon",35
"8","2015.35.2",5,0,0,1,0,0,41,0,0,128,0,1,0,97,8,43,7,2,2,0,0,0,34,12,0,3,0,2015,"Medium","S.Lagoon",35
"9","2015.35.3",31,0,0,1,0,0,36,2,0,214,0,29,8,135,3,89,27,0,64,4,5,0,41,21,0,1,0,2015,"Medium","S.Lagoon",35
"10","2015.27.1",3,0,0,13,0,0,6,0,0,46,0,6,2,26,0,11,0,0,28,0,0,0,1,107,0,0,0,2015,"Very High","N.Lagoon",27
"11","2015.27.2",0,0,0,19,0,0,2,0,0,0,0,0,2,7,0,0,0,0,19,0,0,0,1,34,0,0,0,2015,"Very High","N.Lagoon",27
"12","2015.27.3",2,0,0,10,0,0,1,0,0,5,0,0,2,9,0,3,0,0,8,0,0,0,1,81,0,0,0,2015,"Very High","N.Lagoon",27
"13","2015.30.1",10,1,0,1,0,0,23,0,0,174,1,1,8,62,8,51,13,2,1,0,0,0,88,110,0,1,0,2015,"Very High","N.Lagoon",30
"14","2015.30.2",4,0,0,97,0,0,19,0,1,22,0,1,0,57,2,19,10,0,0,0,0,0,1,32,0,0,0,2015,"Very High","N.Lagoon",30
"15","2015.30.3",14,0,0,143,0,0,22,0,1,132,0,13,1,31,1,65,11,0,4,0,0,0,1,132,1,2,0,2015,"Very High","N.Lagoon",30
"16","2015.32.1",4,0,0,28,0,0,14,1,0,14,0,13,9,29,0,2,1,0,7,0,0,2,1,51,0,0,0,2015,"Very High","N.Lagoon",32
