"","year","hum_dist","sqrt.hdist.cont","pub.site","site","ppq","island.side","region.3","fractal.dimension"
"1","2015","Very High",85.2994724485445,"VH1","27",1,"Leeward","Leeward",2.15201754980334
"2","2015","Very High",85.2994724485445,"VH1","27",2,"Leeward","Leeward",2.15204604761234
"3","2015","Very High",85.2994724485445,"VH1","27",3,"Leeward","Leeward",2.15598909101882
"4","2015","Very High",69.7190483297069,"VH2","32",1,"Leeward","Leeward",2.16118611210792
"5","2015","Very High",69.7190483297069,"VH2","32",2,"Leeward","Leeward",2.1624114050529
"6","2015","Very High",69.7190483297069,"VH2","32",3,"Leeward","Leeward",2.15958668798879
"7","2015","Very High",71.3139872675761,"VH3","30",1,"Leeward","Leeward",2.14657237146717
"8","2015","Very High",71.3139872675761,"VH3","30",2,"Leeward","Leeward",2.14942420668194
"9","2015","Very High",71.3139872675761,"VH3","30",3,"Leeward","Leeward",2.15300353191571
"10","2015","Medium",34.8256829078771,"M1","8",1,"Leeward","Leeward",2.16311200567635
"11","2015","Medium",34.8256829078771,"M1","8",2,"Leeward","Leeward",2.16166824030734
"12","2015","Medium",34.8256829078771,"M1","8",3,"Leeward","Leeward",2.15757838733649
"13","2015","Medium",34.8256829078771,"M2","35",1,"Leeward","Leeward",2.15279509728066
"14","2015","Medium",34.8256829078771,"M2","35",2,"Leeward","Leeward",2.15321492065196
"15","2015","Medium",34.8256829078771,"M2","35",3,"Leeward","Leeward",2.16663084724581
"16","2015","Medium",34.8256829078771,"M3","34",1,"Leeward","Leeward",2.15791121002587
"17","2015","Medium",34.8256829078771,"M3","34",2,"Leeward","Leeward",2.16060546650312
"18","2015","Medium",34.8256829078771,"M3","34",3,"Leeward","Leeward",2.1632235954634
"19","2015","Very Low",0,"VL1","15",1,"Windward","Windward",2.15943378865304
"20","2015","Very Low",0,"VL1","15",2,"Windward","Windward",2.16494631505497
"21","2015","Very Low",0,"VL1","15",3,"Windward","Windward",2.16988575465693
"22","2015","Very Low",0,"VL3","19",1,"Windward","Windward",2.16073905790882
"23","2015","Very Low",0,"VL3","19",2,"Windward","Windward",2.16901809657872
"24","2015","Very Low",0,"VL3","5",1,"Leeward","South Shore",2.1648817538192
"25","2015","Very Low",0,"VL3","5",2,"Leeward","South Shore",2.15681850149715
"26","2015","Very Low",0,"VL3","5",3,"Leeward","South Shore",2.16390094712244
"27","2016a","Very High",85.2994724485445,"VH1","27",1,"Leeward","Leeward",2.15357399433116
"28","2016a","Very High",85.2994724485445,"VH1","27",2,"Leeward","Leeward",2.15110971585498
"29","2016a","Very High",85.2994724485445,"VH1","27",3,"Leeward","Leeward",2.15474972897004
"30","2016a","Very High",69.7190483297069,"VH2","32",1,"Leeward","Leeward",2.14832080315282
"31","2016a","Very High",69.7190483297069,"VH2","32",2,"Leeward","Leeward",2.15518850118686
"32","2016a","Very High",69.7190483297069,"VH2","32",3,"Leeward","Leeward",2.15325483035595
"33","2016a","Very High",71.3139872675761,"VH3","30",1,"Leeward","Leeward",2.14836816764044
"34","2016a","Very High",71.3139872675761,"VH3","30",2,"Leeward","Leeward",2.15627009020504
"35","2016a","Very High",71.3139872675761,"VH3","30",3,"Leeward","Leeward",2.15312734091654
"36","2016a","Medium",34.8256829078771,"M1","8",1,"Leeward","Leeward",2.15563661084639
"37","2016a","Medium",34.8256829078771,"M1","8",2,"Leeward","Leeward",2.15691945230925
"38","2016a","Medium",34.8256829078771,"M1","8",3,"Leeward","Leeward",2.14919676509268
"39","2016a","Medium",34.8256829078771,"M2","35",1,"Leeward","Leeward",2.15183111357474
"40","2016a","Medium",34.8256829078771,"M2","35",2,"Leeward","Leeward",2.15510129707181
"41","2016a","Medium",34.8256829078771,"M3","34",1,"Leeward","Leeward",2.15214427169177
"42","2016a","Medium",34.8256829078771,"M3","34",2,"Leeward","Leeward",2.15430202057146
"43","2016a","Medium",34.8256829078771,"M3","34",3,"Leeward","Leeward",2.15467249154098
"44","2016a","Very Low",0,"VL1","15",1,"Windward","Windward",2.15662649733294
"45","2016a","Very Low",0,"VL3","5",1,"Leeward","South Shore",2.1449507771871
"46","2016a","Very Low",0,"VL3","5",2,"Leeward","South Shore",2.1463466375289
"47","2016a","Very Low",0,"VL3","5",3,"Leeward","South Shore",2.14706530314383
"48","2016b","Very High",85.2994724485445,"VH1","27",1,"Leeward","Leeward",2.1455298563871
"49","2016b","Very High",85.2994724485445,"VH1","27",2,"Leeward","Leeward",2.15062959904602
"50","2016b","Very High",85.2994724485445,"VH1","27",3,"Leeward","Leeward",2.15111872221557
"51","2016b","Very High",69.7190483297069,"VH2","32",1,"Leeward","Leeward",2.15504457826676
"52","2016b","Very High",69.7190483297069,"VH2","32",2,"Leeward","Leeward",2.15503995510687
"53","2016b","Very High",69.7190483297069,"VH2","32",3,"Leeward","Leeward",2.15264569398897
"54","2016b","Very High",71.3139872675761,"VH3","30",1,"Leeward","Leeward",2.1419083875616
"55","2016b","Very High",71.3139872675761,"VH3","30",2,"Leeward","Leeward",2.14721238907186
"56","2016b","Very High",71.3139872675761,"VH3","30",3,"Leeward","Leeward",2.14777848326977
"57","2016b","Medium",34.8256829078771,"M1","8",1,"Leeward","Leeward",2.15272855330516
"58","2016b","Medium",34.8256829078771,"M1","8",2,"Leeward","Leeward",2.1552140607064
"59","2016b","Medium",34.8256829078771,"M1","8",3,"Leeward","Leeward",2.1480300174497
"60","2016b","Medium",34.8256829078771,"M2","35",1,"Leeward","Leeward",2.15095033737659
"61","2016b","Medium",34.8256829078771,"M2","35",2,"Leeward","Leeward",2.15258366365761
"62","2016b","Medium",34.8256829078771,"M2","35",3,"Leeward","Leeward",2.15247589751854
"63","2016b","Medium",34.8256829078771,"M3","34",1,"Leeward","Leeward",2.15089823081372
"64","2016b","Medium",34.8256829078771,"M3","34",2,"Leeward","Leeward",2.15092001128634
"65","2016b","Medium",34.8256829078771,"M3","34",3,"Leeward","Leeward",2.15289044031877
"66","2016b","Very Low",0,"VL1","15",1,"Windward","Windward",2.15431591926167
"67","2016b","Very Low",0,"VL1","15",2,"Windward","Windward",2.15630585384436
"68","2016b","Very Low",0,"VL1","15",3,"Windward","Windward",2.15865326463905
"69","2016b","Very Low",0,"VL3","19",1,"Windward","Windward",2.16024950334774
"70","2016b","Very Low",0,"VL3","19",2,"Windward","Windward",2.15792634209752
"71","2016b","Very Low",0,"VL3","5",1,"Leeward","South Shore",2.15003501040474
"72","2016b","Very Low",0,"VL3","5",2,"Leeward","South Shore",2.15274071100141
"73","2016b","Very Low",0,"VL3","5",3,"Leeward","South Shore",2.14720100392514
"74","2017","Very High",85.2994724485445,"VH1","27",1,"Leeward","Leeward",2.14757545310455
"75","2017","Very High",85.2994724485445,"VH1","27",2,"Leeward","Leeward",2.14711554113164
"76","2017","Very High",85.2994724485445,"VH1","27",3,"Leeward","Leeward",2.15039603727163
"77","2017","Very High",69.7190483297069,"VH2","32",1,"Leeward","Leeward",2.15431163636657
"78","2017","Very High",69.7190483297069,"VH2","32",2,"Leeward","Leeward",2.15814917702123
"79","2017","Very High",69.7190483297069,"VH2","32",3,"Leeward","Leeward",2.15746625001327
"80","2017","Very High",71.3139872675761,"VH3","30",1,"Leeward","Leeward",2.14498762867622
"81","2017","Very High",71.3139872675761,"VH3","30",2,"Leeward","Leeward",2.14767829035458
"82","2017","Very High",71.3139872675761,"VH3","30",3,"Leeward","Leeward",2.14670240638623
"83","2017","Medium",34.8256829078771,"M1","8",1,"Leeward","Leeward",2.14749199182667
"84","2017","Medium",34.8256829078771,"M1","8",2,"Leeward","Leeward",2.14455009128416
"85","2017","Medium",34.8256829078771,"M1","8",3,"Leeward","Leeward",2.14516362456248
"86","2017","Medium",34.8256829078771,"M2","35",1,"Leeward","Leeward",2.14883646030651
"87","2017","Medium",34.8256829078771,"M2","35",2,"Leeward","Leeward",2.14917879674969
"88","2017","Medium",34.8256829078771,"M2","35",3,"Leeward","Leeward",2.1555165354885
"89","2017","Medium",34.8256829078771,"M3","34",1,"Leeward","Leeward",2.15240772948479
"90","2017","Medium",34.8256829078771,"M3","34",2,"Leeward","Leeward",2.15610568224629
"91","2017","Medium",34.8256829078771,"M3","34",3,"Leeward","Leeward",2.15185006810223
"92","2017","Very Low",0,"VL1","15",1,"Windward","Windward",2.1554488683268
"93","2017","Very Low",0,"VL1","15",2,"Windward","Windward",2.15508782514408
"94","2017","Very Low",0,"VL1","15",3,"Windward","Windward",2.16874584002818
"95","2017","Very Low",0,"VL3","19",1,"Windward","Windward",2.16148388603718
"96","2017","Very Low",0,"VL3","19",2,"Windward","Windward",2.16291583268268
"97","2017","Very Low",0,"VL3","19",3,"Windward","Windward",2.15902122937076
"98","2017","Very Low",0,"VL3","5",1,"Leeward","South Shore",2.15004488762432
"99","2017","Very Low",0,"VL3","5",2,"Leeward","South Shore",2.15376047953452
"100","2017","Very Low",0,"VL3","5",3,"Leeward","South Shore",2.14704962306757
"101","2017","Very Low",0,"VL4","37",1,"Leeward","South Shore",2.14516697088215
"102","2017","Very Low",0,"VL4","37",2,"Leeward","South Shore",2.15341019791121
"103","2017","Very Low",0,"VL4","37",3,"Leeward","South Shore",2.13843634263811
"104","2019","Very High",85.2994724485445,"VH1","27",1,"Leeward","Leeward",2.15955496111754
"105","2019","Very High",85.2994724485445,"VH1","27",2,"Leeward","Leeward",2.15646619943927
"106","2019","Very High",85.2994724485445,"VH1","27",3,"Leeward","Leeward",2.15680861444927
"107","2019","Very High",69.7190483297069,"VH2","32",1,"Leeward","Leeward",2.16203585727568
"108","2019","Very High",69.7190483297069,"VH2","32",2,"Leeward","Leeward",2.15705903567047
"109","2019","Very High",69.7190483297069,"VH2","32",3,"Leeward","Leeward",2.15413043566562
"110","2019","Very High",71.3139872675761,"VH3","30",1,"Leeward","Leeward",2.15272240010523
"111","2019","Very High",71.3139872675761,"VH3","30",2,"Leeward","Leeward",2.15822950856534
"112","2019","Very High",71.3139872675761,"VH3","30",3,"Leeward","Leeward",2.15438734941197
"113","2019","Medium",34.8256829078771,"M1","8",1,"Leeward","Leeward",2.15434639022109
"114","2019","Medium",34.8256829078771,"M1","8",2,"Leeward","Leeward",2.15280666825078
"115","2019","Medium",34.8256829078771,"M1","8",3,"Leeward","Leeward",2.15205179169113
"116","2019","Medium",34.8256829078771,"M2","35",1,"Leeward","Leeward",2.15330265818519
"117","2019","Medium",34.8256829078771,"M2","35",2,"Leeward","Leeward",2.15264562810589
"118","2019","Medium",34.8256829078771,"M2","35",3,"Leeward","Leeward",2.15321967393317
"119","2019","Medium",34.8256829078771,"M3","34",1,"Leeward","Leeward",2.1521475864962
"120","2019","Medium",34.8256829078771,"M3","34",2,"Leeward","Leeward",2.15212480584555
"121","2019","Medium",34.8256829078771,"M3","34",3,"Leeward","Leeward",2.1540357211137
"122","2019","Very Low",0,"VL3","5",1,"Leeward","South Shore",2.14675007545315
"123","2019","Very Low",0,"VL3","5",2,"Leeward","South Shore",2.15183387653871
"124","2019","Very Low",0,"VL3","5",3,"Leeward","South Shore",2.16326345223281
"125","2019","Very Low",0,"VL4","37",1,"Leeward","South Shore",2.15583979102815
"126","2019","Very Low",0,"VL4","37",2,"Leeward","South Shore",2.15199805739905
"127","2019","Very Low",0,"VL4","37",3,"Leeward","South Shore",2.15189077024064
