Date,Hum_Dist,Site,MPQ,Initial Timepoint,Final Timepoint,Period,COARSE_ICP_RSL,COARSE_ICP_Scale,ICP_RMS_Final,ICP_Scale,ICP_Overlap (%),Volume,Surface (m2),Added Volume,Removed Volume,Matching cells (%),Non-Matching Cells: Ground (%),Non-Matching Cells: Ceil (%),Average neighbors per cell,Notes
2020-06-12,Very Low,5,1,2015,2017,A,0.00564226,0.858483,0.355948,1,95,-0.311,15.973,0.256,-0.568,100,0,0,8 out of 8,
2020-06-12,Very Low,5,1,2015,2019,C,0.00184378,1.029,0.0397357,1,95,-0.547,15.976,0.278,0.825,100,0,0,8 out of 8,
2020-06-12,Very Low,5,2,2015,2017,A,0.00331038,1.0962,0.0249955,1,95,-0.207,15.937,0.405,-0.611,100,0,0,8 out of 8,
2020-06-12,Very Low,5,2,2015,2019,C,0.00934526,1.05326,0.0289329,1,95,-0.253,15.978,0.491,-0.744,100,0,0,8 out of 8,
2020-06-12,Very Low,5,3,2015,2017,A,0.0160391,1.07488,0.0178787,1,95,-0.428,16.023,0.252,-0.68,100,0,0,8 out of 8,** Growth of macroalgae caused this increase!
2020-06-11,Very Low,5,3,2015,2019,C,0.0123853,1.04808,0.054887,1,95,-0.642,15.948,0.339,-0.981,100,0,0,8 out of 8,
2020-06-12,Medium,8,1,2015,2017,A,0.00891971,1,0.436807,1,95,-0.068,15.963,0.182,-0.25,100,0,0,8 out of 8,
2020-06-12,Medium,8,1,2015,2019,C,0.228934,1.03886,0.0226693,2,95,-0.012,16.083,0.34,-0.352,100,0,0,8 out of 8,Loss of 1 large soft coral colony and filling in of cracks and crevices by small rubble chunks = not much change in structure
2020-06-16,Medium,8,2,2015,2017,A,0.00684241,0.984842,0.0216625,1,95,-0.013,16.062,0.333,-0.345,100,0,0,8 out of 8,Minimal structure lost value due to macroalgae present in latter year
2020-06-16,Medium,8,2,2015,2019,C,0.00403799,1.03211,0.0180629,1,95,-0.004,16,0.353,-0.358,100,0,0,8 out of 8,Minimal structure lost value due to macroalgae present in latter year
2020-06-16,Medium,8,3,2015,2017,A,0.00230115,1.01517,0.0154505,1,95,0.002,16.069,0.277,-0.274,100,0,0,8 out of 8,Minimal structure lost value due to macroalgae present in latter year
2020-06-16,Medium,8,3,2015,2019,C,0.0029419,1.00826,0.0139404,1,95,-0.138,16.061,0.232,-0.369,99.9,0.1,0,8 out of 8,"No MacroAlgae in 2019 at this plot, so loss of structure noted"
2020-06-16,Very Low,15,1,2015,2017,A,0.00757108,1.0622,0.0200583,1,95,-0.688,15.944,0.21,-0.644,100,0,0,8 out of 8,
2020-06-16,Very Low,15,2,2015,2017,A,0.0130785,0.990746,0.0265769,1,95,-1.348,15.96,0.392,-1.74,100,0,0,8 out of 8,
