,year,pub.site,site,ppq,DEM,vrm,vrm.max,vrm.min,pro.curv,pro.max,pro.min,plan.curv,plan.max,plan.min,year.site.ppq
1,2015,VH1,27,1,1,0.04484,0.720519423,0.000116,286.98938,395014.5313,-439685.0625,273.25477,360475.5938,-395895.9375,2015.27.1
2,2015,VH1,27,2,1,0.04193,0.589210629,0.000179,219.90472,181934.3281,-264309.9688,225.11235,315954.9688,-275768.7813,2015.27.2
3,2015,VH1,27,3,1,0.04562,0.553069174,0.000136,230.87942,251168.4844,-235072.7813,237.36122,148547.8281,-289471.3438,2015.27.3
4,2015,VH2,32,1,1,0.06613,0.880964041,0.000146,-6.66107,565655.625,-571057,5.2624,447515.9063,-643446.5625,2015.32.1
5,2015,VH2,32,2,1,0.06237,0.722725987,0.000175,178.06504,249240.5313,-208737.7813,172.79348,175790.4531,-219305.8594,2015.32.2
6,2015,VH2,32,3,1,0.05346,0.692175627,0.000088,185.98534,260284.125,-173968.4219,182.9692,118475.125,-257030.0781,2015.32.3
7,2015,VH3,30,1,1,0.076,0.84533906,0.00011,-47.73393,732030.375,-572361.5,3.67696,444790.8438,-729153.6875,2015.30.1
8,2015,VH3,30,2,1,0.05724,0.856036425,0.000033,224.84395,705957.125,-587501.5625,230.28169,475674.1875,-708680.25,2015.30.2
9,2015,VH3,30,3,1,0.0592,0.806308329,0.000119,300.99317,436405.6875,-403893.7813,284.0787,347969.9063,-275736.75,2015.30.3
10,2015,M1,8,1,1,0.07319,0.758335352,0.000186,34.64098,304241.3125,-398582.4688,63.33595,226155.2344,-262457.9375,2015.8.1
11,2015,M1,8,2,1,0.0909,0.893616319,0.000163,-212.06297,747953.75,-480392.7188,-166.01911,401888,-824148.5625,2015.8.2
12,2015,M1,8,3,1,0.06025,0.778253913,0.000061,103.79142,243811.7656,-235900.9375,101.24506,259741.6875,-280085.6563,2015.8.3
13,2015,M2,35,1,1,0.05375,0.678132296,0.00015,131.0193,283824.1563,-256261.2656,152.94625,182408.25,-194567.4531,2015.35.1
14,2015,M2,35,2,1,0.06925,0.814881504,0.000115,104.35529,474591.5625,-370621.8125,152.65,523937.2813,-548466.3125,2015.35.2
15,2015,M2,35,3,1,0.08512,0.887127161,0.000089,-60.11308,866109.625,-496138.9375,-67.9859,494678.0313,-843039.25,2015.35.3
16,2015,M3,34,1,1,0.06978,0.786201358,0.000193,95.1055,541561.625,-376324.4063,93.11068,460195.7813,-640914.8125,2015.34.1
17,2015,M3,34,2,1,0.06928,0.766717315,0.000121,104.35264,219798.1719,-214643.5781,135.3829,242711.9063,-265484.3125,2015.34.2
18,2015,M3,34,3,1,0.07234,0.814654708,0.00015,136.25805,484252.9063,-538148.5625,149.32673,585265.375,-404829.1563,2015.34.3
19,2015,VL1,15,1,1,0.08435,0.839487851,0.000095,-85.80637,601186.3125,-592380.375,-129.88917,531390.625,-530326,2015.15.1
20,2015,VL1,15,2,1,0.10977,0.857136786,0.000076,-401.93005,882428.1875,-683482.125,-411.86695,768397.6875,-711045.375,2015.15.2
21,2015,VL1,15,3,1,0.11092,0.854327261,0.000098,-346.24354,549307.5,-539793.25,-344.83466,359434.375,-747869.3125,2015.15.3
22,2015,VL3,19,1,1,0.11073,0.864876986,0.000181,-458.81829,647752.625,-459666.6875,-455.88397,697910.8125,-691175.625,2015.19.1
23,2015,VL3,19,2,1,0.09081,0.804235339,0.000107,-297.13655,554100.5625,-507745.6563,-304.05083,388154.4375,-487075.0313,2015.19.2
24,2015,VL3,5,1,1,0.09005,0.851405025,0.000169,-284.45926,446582.7188,-355475,-256.0283,328098.4375,-521451.2813,2015.5.1
25,2015,VL3,5,2,1,0.08478,0.876809716,0.000126,-417.36999,674671.0625,-568927.8125,-427.83836,583818.4375,-867381.25,2015.5.2
26,2015,VL3,5,3,1,0.07094,0.790542006,0.000088,-134.63692,325328.625,-251189.9531,-124.41281,222615.6406,-397148.0625,2015.5.3
27,2016a,VH1,27,1,1,0.04203,0.678362608,0.000026,252.28474,302682.5313,-286286.1563,253.42295,147210.7031,-185343.5938,2016a.27.1
28,2016a,VH1,27,2,1,0.02719,0.765228152,0.00004,270.07637,255157.7031,-232814.1719,243.66472,207239.2969,-153530.5469,2016a.27.2
29,2016a,VH1,27,3,1,0.02553,0.718407631,0.00005,307.80933,274331.0313,-243904.2969,304.75719,211746.8906,-215933.1875,2016a.27.3
30,2016a,VH2,32,1,1,0.04946,0.778374553,0.000044,40.52219,314312.0625,-319716.7188,43.79011,268617.4375,-502932.4375,2016a.32.1
31,2016a,VH2,32,2,1,0.03832,0.523986697,0.000101,240.45119,185455.0938,-169546.0781,237.38802,132780.9063,-165322.5313,2016a.32.2
32,2016a,VH2,32,3,1,0.03423,0.50007534,0.000031,203.96426,192051.5,-176271.0313,200.87276,77379,-75623.90625,2016a.32.3
