KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth (m),Slope,Note,,KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note,,,
19_07_2019,3,KB,1,,Cephalopholis urodeta,20,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Sargocentron tiere,24,1,,1330,30,1,,,,Aprion virescens
19_07_2019,3,KB,1,,Cephalopholis urodeta,22,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Cephalopholis urodeta,15,1,,1330,30,1,,,,Aulostomus chinensis
19_07_2019,3,KB,1,,Cephalopholis urodeta,10,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Cephalopholis urodeta,10,1,,1330,30,1,,,,Carcharhinus amblyrhynchos
19_07_2019,3,KB,1,,Cephalopholis urodeta,14,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Cephalopholis urodeta,8,4,,1330,30,1,,,,Carangoides ferdau
19_07_2019,3,KB,1,,Cephalopholis hexagonatus,23,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Cephalopholis urodeta,13,2,,1330,30,1,,,,Caranx ignobilis
19_07_2019,3,KB,1,,Cephalopholis hexagonatus,27,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Cephalopholis leopardus,11,1,,1330,30,1,,,,Caranx lugubris
19_07_2019,3,KB,1,,Pseudanthias dispar,9,4,,954,9.9,2,,,20_07_2013,8,SC,1,,Pseudanthias dispar,4,26,,1330,30,1,,,,Caranx melampygus
19_07_2019,3,KB,1,,Pseudanthias dispar,7,7,,954,9.9,2,,,20_07_2013,8,SC,1,,Pseudanthias olivaceus,6,20,,1330,30,1,,,,Carcharhinus melanopterus
19_07_2019,3,KB,1,,Pseudanthias olivaceus,8,14,,954,9.9,2,,,20_07_2013,8,SC,1,,Cirrhitichthys oxycephalis,4,1,,1330,30,1,,,,Carangoides orthogrammus
19_07_2019,3,KB,1,,Pseudanthias olivaceus,8,5,,954,9.9,2,,,20_07_2013,8,SC,1,,Paracirrhites arcatus,8,1,,1330,30,1,,,,Caranx sexfasciatus
19_07_2019,3,KB,1,,Paracirrhites arcatus,13,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Paracirrhites arcatus,6,1,,1330,30,1,,,,Cephalopholis argus
19_07_2019,3,KB,1,,Paracirrhites arcatus,10,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Paracirrhites hemistictus,20,1,,1330,30,1,,,,Cephalopholis miniata
19_07_2019,3,KB,1,,Lutjanus bohar,21,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Cirripectes stigmaticus,6,2,,1330,30,1,,,,Elagatis bipinnulata
19_07_2019,3,KB,1,,Ctenochaetus flavicauda,8,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Chaetodon lunula,15,1,,1330,30,1,,,,Epinephelus macrospilos
19_07_2019,3,KB,1,,Chromis margaritifer,4,5,,954,9.9,2,,,20_07_2013,8,SC,1,,Chromis margaritifer,2,4,,1330,30,1,,,,Epinephelus polyphekadion
19_07_2019,3,KB,1,,Chromis margaritifer,7,2,,954,9.9,2,,,20_07_2013,8,SC,1,,Chromis margaritifer,3,43,,1330,30,1,,,,Epinephelus tauvina
19_07_2019,3,KB,1,,Chromis margaritifer,8,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Chromis vanderbilti,3,206,,1330,30,1,,,,Euthynnus affinis
19_07_2019,3,KB,1,,Chromis margaritifer,3,2,,954,9.9,2,,,20_07_2013,8,SC,1,,Chromis vanderbilti,2,46,,1330,30,1,,,,Fistularia commersonii
19_07_2019,3,KB,1,,Chromis vanderbilti,4,91,,954,9.9,2,,,20_07_2013,8,SC,1,,Plectroglyphidodon dickii,4,3,,1330,30,1,,,,Gymnothorax javanicus
19_07_2019,3,KB,1,,Chromis vanderbilti,6,18,,954,9.9,2,,,20_07_2013,8,SC,1,,Plectroglyphidodon dickii,2,1,,1330,30,1,,,,Gymnosarda unicolor
19_07_2019,3,KB,1,,Plectroglyphidodon dickii,8,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Plectroglyphidodon johnstonianus,5,1,,1330,30,1,,,,Lethrinus obsoletus
19_07_2019,3,KB,1,,Plectroglyphidodon dickii,9,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Stegastes aureus,6,1,,1330,30,1,,,,Lethrinus olivaceus
19_07_2019,3,KB,1,,Plectroglyphidodon dickii,7,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Gomphosus varius,7,2,,1330,30,1,,,,Lethrinus xanthochilus
19_07_2019,3,KB,1,,Plectroglyphidodon dickii,6,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Gomphosus varius,3,1,,1330,30,1,,,,Lutjanus bohar
19_07_2019,3,KB,1,,Stegastes aureus,10,2,,954,9.9,2,,,20_07_2013,8,SC,1,,Gomphosus varius,5,2,,1330,30,1,,,,Lutjanus monostigma
19_07_2019,3,KB,1,,Stegastes aureus,12,2,,954,9.9,2,,,20_07_2013,8,SC,1,,Halichoeres hortulanus,20,1,,1330,30,1,,,,Scomberoides lysan
19_07_2019,3,KB,1,,Stegastes aureus,8,2,,954,9.9,2,,,20_07_2013,8,SC,1,,Halichoeres hortulanus,22,1,,1330,30,1,,,,Sphyraena barracuda
19_07_2019,3,KB,1,,Cheilinus trilobatus,28,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Labroides rubrolabiatus,5,2,,1330,30,1,,,,Sphyraena qenie
19_07_2019,3,KB,1,,Pseudocheilinus tetrataenia,7,2,,954,9.9,2,,,20_07_2013,8,SC,1,,Pseudocheilinus hexataenia,3,1,,1330,30,1,,,,Thunnus albacares
19_07_2019,3,KB,1,,Thalassoma amblycephalum,3,6,,954,9.9,2,,,20_07_2013,8,SC,1,,Thalassoma amblycephalum,5,11,,1330,30,1,,,,Triaenodon obesus
19_07_2019,3,KB,1,,Acanthurus lineatus,20,2,,954,9.9,2,,,20_07_2013,8,SC,1,,Thalassoma amblycephalum,9,2,,1330,30,1,,,,Variola louti
19_07_2019,3,KB,1,,Acanthurus lineatus,21,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Thalassoma quinquevittatum,9,1,,1330,30,1,,,,Aetobatos narinari
19_07_2019,3,KB,1,,Ctenochaetus striatus,24,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Thalassoma quinquevittatum,6,1,,1330,30,1,,,,Anampses caeruleopunctatus
19_07_2019,3,KB,1,,Ctenochaetus striatus,13,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Chlorurus sordidus,30,1,TP,1330,30,1,,,,Anampses melanurus
19_07_2019,3,KB,1,,Melichthys vidua,20,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Scarus frenatus,35,1,IP,1330,30,1,,,,Anampses meleagris
19_07_2019,3,KB,1,,Parupeneus multifasciatus,22,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Acanthurus nigricans,12,1,,1330,30,1,,,,Anampses twistii
19_07_2019,3,KB,1,,Parupeneus multifasciatus,25,1,,954,9.9,2,,,20_07_2013,8,SC,1,,Ctenochaetus marginatus,20,1,,1330,30,1,,,,Apogon kallopterus
19_07_2019,3,KB,2,,Pseudanthias dispar,8,10,,1016,9.2,2,,,20_07_2013,8,SC,1,,Melichthys niger,22,2,,1330,30,1,,,,Arothron hispidus
19_07_2019,3,KB,2,,Lepidozygus tapeinosoma,8,25,,1016,9.2,2,,,20_07_2013,8,SC,1,,Parupeneus insularis,20,1,,1330,30,1,,,,Arothron meleagris
19_07_2019,3,KB,2,,Cirripectes variolosus,7,3,,1016,9.2,2,,,,,,,,,,,,,,,,,,Arothron stellatus
19_07_2019,3,KB,2,,Chaetodon auriga,12,2,,1016,9.2,2,,,,,,,,,,,,,,,,,,Balistapus undulatus
19_07_2019,3,KB,2,,Chromis margaritifer,5,5,,1016,9.2,2,,,,,,,,,,,,,,,,,,Balistoides viridescens
19_07_2019,3,KB,2,,Chromis vanderbilti,4,165,,1016,9.2,2,,,,,,,,,,,,,,,,,,Bodianus axillaris
19_07_2019,3,KB,2,,Chromis vanderbilti,6,20,,1016,9.2,2,,,,,,,,,,,,,,,,,,Bodianus bilunulatus
19_07_2019,3,KB,2,,Plectroglyphidodon dickii,8,1,,1016,9.2,2,,,,,,,,,,,,,,,,,,Bodianus loxozonus
