KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth (m),Slope,Note,,KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
2019-07-19,3,SD,1,,Sargocentron tiere,21,1,,954,9.8,2,,,20_07_2013,8,SC,1,,Sargocentron tiere,24,1,,1330,30,1,
2019-07-19,3,SD,1,,Cephalopholis urodeta,14,1,,954,9.8,2,,,20_07_2013,8,SC,1,,Cephalopholis urodeta,15,1,,1330,30,1,
2019-07-19,3,SD,1,,Cephalopholis urodeta,19,1,,954,9.8,2,,,20_07_2013,8,SC,1,,Cephalopholis urodeta,10,1,,1330,30,1,
2019-07-19,3,SD,1,,Pseudanthias olivaceus,6,10,,954,9.8,2,,,20_07_2013,8,SC,1,,Cephalopholis urodeta,8,4,,1330,30,1,
2019-07-19,3,SD,1,,Cirrhitichthys oxycephalus,6,1,,954,9.8,2,,,20_07_2013,8,SC,1,,Cephalopholis urodeta,13,2,,1330,30,1,
2019-07-19,3,SD,1,,Paracirrhites arcatus,5,1,,954,9.8,2,,,20_07_2013,8,SC,1,,Cephalopholis leopardus,11,1,,1330,30,1,
2019-07-19,3,SD,1,,Cirripectes variolosus,5,1,,954,9.8,2,,,20_07_2013,8,SC,1,,Pseudanthias dispar,4,26,,1330,30,1,
2019-07-19,3,SD,1,,Cirripectes variolosus,10,2,,954,9.8,2,,,20_07_2013,8,SC,1,,Pseudanthias olivaceus,6,20,,1330,30,1,
2019-07-19,3,SD,1,,Chromis margaritifer,2,2,,954,9.8,2,,,20_07_2013,8,SC,1,,Cirrhitichthys oxycephalis,4,1,,1330,30,1,
2019-07-19,3,SD,1,,Chromis margaritifer,4,9,,954,9.8,2,,,20_07_2013,8,SC,1,,Paracirrhites arcatus,8,1,,1330,30,1,
2019-07-19,3,SD,1,,Chromis vanderbilti,5,65,,954,9.8,2,,,20_07_2013,8,SC,1,,Paracirrhites arcatus,6,1,,1330,30,1,
2019-07-19,3,SD,1,,Lepidozygus tapeinosoma,5,15,,954,9.8,2,,,20_07_2013,8,SC,1,,Paracirrhites hemistictus,20,1,,1330,30,1,
2019-07-19,3,SD,1,,Lepidozygus tapeinosoma,7,50,,954,9.8,2,,,20_07_2013,8,SC,1,,Cirripectes stigmaticus,6,2,,1330,30,1,
