KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
04_07_2015,27,SC,1,,Epinephelus tauvina,26,1,,09:12,33,2,
04_07_2015,27,SC,1,,Pogonoperca punctata,22,1,,09:12,33,2,
04_07_2015,27,SC,1,,Cirrhitichthys oxycephalus,4,3,,09:12,33,2,
04_07_2015,27,SC,1,,Pomacentrus coelestis,2,14,,09:12,33,2,
04_07_2015,27,SC,1,,Pomacentrus coelestis,3,14,,09:12,33,2,
04_07_2015,27,SC,1,,labrid sp.,4,5,,09:12,33,2,
04_07_2015,27,SC,1,,Coris centralis,5,1,,09:12,33,2,
04_07_2015,27,SC,1,,Coris centralis,3,2,,09:12,33,2,
04_07_2015,27,SC,1,,Coris centralis,9,1,,09:12,33,2,
04_07_2015,27,SC,1,,Stethojulis bandanensis,7,1,juv,09:12,33,2,
04_07_2015,27,SC,1,,Stethojulis bandanensis,9,1,juv,09:12,33,2,
04_07_2015,27,SC,1,,Stethojulis bandanensis,6,2,,09:12,33,2,
04_07_2015,27,SC,1,,Thalassoma amblycephalum,4,4,IP,09:12,33,2,
04_07_2015,27,SC,1,,Thalassoma lunare,4,1,juv,09:12,33,2,
04_07_2015,27,SC,1,,Calotomus carolinus,32,1,TP,09:12,33,2,
04_07_2015,27,SC,1,,Scarus ghobban,32,5,IP,09:12,33,2,
04_07_2015,27,SC,1,,Acanthurus nigricauda,28,4,,09:12,33,2,
04_07_2015,27,SC,1,,Acanthurus olivaceus,25,17,,09:12,33,2,
04_07_2015,27,SC,1,,Acanthurus olivaceus,22,28,,09:12,33,2,
04_07_2015,27,SC,1,,Sufflamen chrysopterum,20,1,,09:12,33,2,
04_07_2015,27,SC,1,,Sufflamen chrysopterum,16,1,,09:12,33,2,
04_07_2015,27,SC,1,,Parupeneus multifasciatus,9,2,,09:12,33,2,
04_07_2015,27,SC,1,,Parupeneus multifasciatus,7,2,,09:12,33,2,
04_07_2015,27,SC,1,,Ptereleotris zebra,6,4,,09:12,33,2,
04_07_2015,27,SC,1,,Arothron meleagris,20,1,,09:12,33,2,
04_07_2015,27,SC,1,,Canthigaster solandri,8,1,,09:12,33,2,
04_07_2015,27,SC,1,,Canthigaster solandri,6,3,,09:12,33,2,
04_07_2015,27,SC,1,,Parapercis lata,10,1,,09:12,33,2,
04_07_2015,27,SC,2,,Variola louti,32,1,,09:30,33,2,
04_07_2015,27,SC,2,,Epinephelus fasciatus,20,1,,09:30,33,2,
04_07_2015,27,SC,2,,Pogonoperca punctata,22,1,,09:30,33,2,
04_07_2015,27,SC,2,,Malacanthus latovittatus,45,1,,09:30,33,2,
04_07_2015,27,SC,2,,Cirrhitichthys oxycephalus,3,4,,09:30,33,2,
04_07_2015,27,SC,2,,Pomacentrus coelestis,3,16,,09:30,33,2,
04_07_2015,27,SC,2,,Pomacentrus coelestis,2,17,,09:30,33,2,
04_07_2015,27,SC,2,,Pomacentrus coelestis,4,3,,09:30,33,2,
04_07_2015,27,SC,2,,Coris centralis,4,2,,09:30,33,2,
04_07_2015,27,SC,2,,Coris centralis,6,2,,09:30,33,2,
04_07_2015,27,SC,2,,Stethojulis bandanensis,3,6,,09:30,33,2,
04_07_2015,27,SC,2,,Labroides dimidiatus,4,3,,09:30,33,2,
04_07_2015,27,SC,2,,Labroides dimidiatus,3,2,,09:30,33,2,
04_07_2015,27,SC,2,,Stethojulis bandanensis,6,5,,09:30,33,2,
04_07_2015,27,SC,2,,Stethojulis bandanensis,4,2,,09:30,33,2,
04_07_2015,27,SC,2,,Thalassoma amblycephalum,2,10,,09:30,33,2,
04_07_2015,27,SC,2,,Thalassoma amblycephalum,3,4,,09:30,33,2,
04_07_2015,27,SC,2,,Thalassoma amblycephalum,5,28,,09:30,33,2,
04_07_2015,27,SC,2,,Scarus rubroviolaceus,4,4,juv,09:30,33,2,
04_07_2015,27,SC,2,,Scarus ghobban,35,5,IP,09:30,33,2,
04_07_2015,27,SC,2,,Scarus ghobban,28,3,IP,09:30,33,2,
04_07_2015,27,SC,2,,Acanthurus nigricauda,30,6,,09:30,33,2,
04_07_2015,27,SC,2,,Acanthurus olivaceus,24,8,,09:30,33,2,
04_07_2015,27,SC,2,,Acanthurus olivaceus,28,3,,09:30,33,2,
04_07_2015,27,SC,2,,Gymnothorax breedeni,50,1,,09:30,33,2,
04_07_2015,27,SC,2,,Melichthys niger,20,10,,09:30,33,2,
04_07_2015,27,SC,2,,Melichthys vidua,20,1,,09:30,33,2,
04_07_2015,27,SC,2,,Sufflamen fraenatum,28,1,,09:30,33,2,
04_07_2015,27,SC,2,,Canthigaster solandri,7,1,,09:30,33,2,
04_07_2015,27,SC,3,,Cephalopholis urodeta,5,1,,09:40,33,2,
04_07_2015,27,SC,3,,Cirrhitichthys oxycephalus,4,1,,09:40,33,2,
04_07_2015,27,SC,3,,Pomacentrus coelestis,2,3,,09:40,33,2,
04_07_2015,27,SC,3,,Pomacentrus coelestis,3,4,,09:40,33,2,
04_07_2015,27,SC,3,,Coris centralis,5,4,,09:40,33,2,
04_07_2015,27,SC,3,,Coris centralis,7,2,,09:40,33,2,
04_07_2015,27,SC,3,,Labroides dimidiatus,5,1,,09:40,33,2,
04_07_2015,27,SC,3,,Thalassoma amblycephalum,5,3,,09:40,33,2,
04_07_2015,27,SC,3,,Thalassoma amblycephalum,4,13,,09:40,33,2,
04_07_2015,27,SC,3,,Thalassoma amblycephalum,8,23,,09:40,33,2,
04_07_2015,27,SC,3,,Thalassoma amblycephalum,6,6,,09:40,33,2,
04_07_2015,27,SC,3,,Gymnothorax breedeni,50,1,,09:40,33,2,
04_07_2015,27,SC,3,,Acanthurus olivaceus,24,3,,09:40,33,2,
04_07_2015,27,SC,3,,Melichthys vidua,22,1,,09:40,33,2,
04_07_2015,27,SC,3,,Odonus niger,12,1,,09:40,33,2,
04_07_2015,27,SC,3,,Sufflamen chrysopterum,20,3,,09:40,33,2,
04_07_2015,27,SC,3,,Canthigaster solandri,6,4,,09:40,33,2,
04_07_2015,27,SC,3,,Canthigaster solandri,4,2,,09:40,33,2,
04_07_2015,27,SC,3,,Canthigaster solandri,8,1,,09:40,35,2,
05_07_2015,15,SC,1,,Cephalopholis argus,18,1,,10:05,35,2,
05_07_2015,15,SC,1,,Epinephelus polyphekadion,45,1,,10:05,35,2,
05_07_2015,15,SC,1,,Paracirrhites forsteri,14,1,,10:05,35,2,
05_07_2015,15,SC,1,,Paracirrhites forsteri,10,1,,10:05,35,2,
05_07_2015,15,SC,1,,Chaetodon trifascialis,9,1,,10:05,35,2,
05_07_2015,15,SC,1,,Chromis margaritifer,6,5,,10:05,35,2,
05_07_2015,15,SC,1,,Chromis margaritifer,2,2,,10:05,35,2,
05_07_2015,15,SC,1,,Chromis margaritifer,5,4,,10:05,35,2,
05_07_2015,15,SC,1,,Chromis margaritifer,4,13,,10:05,35,2,
05_07_2015,15,SC,1,,Chromis margaritifer,3,4,,10:05,35,2,
05_07_2015,15,SC,1,,Chromis vanderbilti,3,8,,10:05,35,2,
05_07_2015,15,SC,1,,Plectroglyphidodon dickii,8,18,,10:05,35,2,
05_07_2015,15,SC,1,,Plectroglyphidodon dickii,5,4,,10:05,35,2,
05_07_2015,15,SC,1,,Plectroglyphidodon johnstonianus,6,2,,10:05,35,2,
05_07_2015,15,SC,1,,Stegastes aureus,6,1,,10:05,35,2,
05_07_2015,15,SC,1,,Stegastes fasciolatus,7,8,,10:05,35,2,
05_07_2015,15,SC,1,,Gomphosus varius,10,1,,10:05,35,2,
05_07_2015,15,SC,1,,Gomphosus varius,8,1,,10:05,35,2,
05_07_2015,15,SC,1,,Gomphosus varius,20,1,,10:05,35,2,
05_07_2015,15,SC,1,,Gomphosus varius,2,1,,10:05,35,2,
05_07_2015,15,SC,1,,Halichoeres hortulanus,20,1,,10:05,35,2,
05_07_2015,15,SC,1,,Pseudocheilinus octotaenia,8,1,,10:05,35,2,
05_07_2015,15,SC,1,,Thalassoma lutescens,10,1,,10:05,35,2,
05_07_2015,15,SC,1,,Chlorurus sordidus,20,1,IP,10:05,35,2,
05_07_2015,15,SC,1,,Chlorurus sordidus,28,1,TP,10:05,35,2,
05_07_2015,15,SC,1,,Acanthurus nigricans,20,1,,10:05,35,2,
05_07_2015,15,SC,1,,Acanthurus nigricans,13,1,,10:05,35,2,
05_07_2015,15,SC,1,,Acanthurus nigricans,10,1,,10:05,35,2,
05_07_2015,15,SC,1,,Ctenochaetus marginatus,13,2,,10:05,35,2,
05_07_2015,15,SC,2,,Cephalopholis argus,20,1,,10:20,35,2,
05_07_2015,15,SC,2,,Pseudanthias olivaceus,7,4,,10:20,35,2,
05_07_2015,15,SC,2,,Paracirrhites arcatus,7,1,,10:20,35,2,
05_07_2015,15,SC,2,,Chromis margaritifer,4,21,,10:20,35,2,
05_07_2015,15,SC,2,,Chromis margaritifer,2,2,,10:20,35,2,
05_07_2015,15,SC,2,,Chromis margaritifer,3,14,,10:20,35,2,
05_07_2015,15,SC,2,,Chromis vanderbilti,2,7,,10:20,35,2,
05_07_2015,15,SC,2,,Chromis vanderbilti,3,13,,10:20,35,2,
05_07_2015,15,SC,2,,Plectroglyphidodon dickii,8,8,,10:20,35,2,
05_07_2015,15,SC,2,,Plectroglyphidodon dickii,6,6,,10:20,35,2,
05_07_2015,15,SC,2,,Plectroglyphidodon johnstonianus,4,5,,10:20,35,2,
05_07_2015,15,SC,2,,Plectroglyphidodon johnstonianus,5,2,,10:20,35,2,
05_07_2015,15,SC,2,,Stegastes aureus,7,1,,10:20,35,2,
05_07_2015,15,SC,2,,Stegastes fasciolatus,8,5,,10:20,35,2,
05_07_2015,15,SC,2,,Stegastes fasciolatus,6,3,,10:20,35,2,
05_07_2015,15,SC,2,,Gomphosus varius,15,1,,10:20,35,2,
05_07_2015,15,SC,2,,Gomphosus varius,12,1,,10:20,35,2,
05_07_2015,15,SC,2,,Gomphosus varius,10,1,,10:20,35,2,
05_07_2015,15,SC,2,,Gomphosus varius,2,1,,10:20,35,2,
05_07_2015,15,SC,2,,Gomphosus varius,4,2,,10:20,35,2,
05_07_2015,15,SC,2,,Gomphosus varius,8,2,,10:20,35,2,
05_07_2015,15,SC,2,,Halichoeres ornatissimus,5,1,,10:20,35,2,
05_07_2015,15,SC,2,,Labroides bicolor,5,1,,10:20,35,2,
05_07_2015,15,SC,2,,Pseudocheilinus hexataenia,4,1,,10:20,35,2,
05_07_2015,15,SC,2,,Pseudocheilinus hexataenia,5,1,,10:20,35,2,
05_07_2015,15,SC,2,,Thalassoma quinquevittatum,13,1,,10:20,35,2,
05_07_2015,15,SC,2,,Chlorurus sordidus,30,1,TP,10:20,35,2,
05_07_2015,15,SC,2,,Chlorurus sordidus,20,2,IP,10:20,35,2,
05_07_2015,15,SC,2,,Scarus tricolor,32,1,TP,10:20,35,2,
05_07_2015,15,SC,2,,Acanthurus nigricans,15,1,,10:20,35,2,
05_07_2015,15,SC,2,,Acanthurus nigricans,12,1,,10:20,35,2,
05_07_2015,15,SC,2,,Acanthurus nigricans,10,2,,10:20,35,2,
05_07_2015,15,SC,2,,Ctenochaetus marginatus,12,1,,10:20,35,2,
05_07_2015,15,SC,3,,Cephalopholis urodeta,15,1,,10:35,35,2,
05_07_2015,15,SC,3,,Paracirrhites forsteri,12,1,,10:35,35,2,
05_07_2015,15,SC,3,,Lutjanus bohar,24,1,,10:35,35,2,
05_07_2015,15,SC,3,,Chromis margaritifer,3,13,,10:35,35,2,
05_07_2015,15,SC,3,,Chromis margaritifer,2,15,,10:35,35,2,
05_07_2015,15,SC,3,,Chromis margaritifer,4,9,,10:35,35,2,
05_07_2015,15,SC,3,,Chromis vanderbilti,2,5,,10:35,35,2,
05_07_2015,15,SC,3,,Chromis vanderbilti,3,14,,10:35,35,2,
05_07_2015,15,SC,3,,Plectroglyphidodon dickii,8,13,,10:35,35,2,
05_07_2015,15,SC,3,,Plectroglyphidodon dickii,6,9,,10:35,35,2,
05_07_2015,15,SC,3,,Plectroglyphidodon johnstonianus,5,8,,10:35,35,2,
05_07_2015,15,SC,3,,Stegastes aureus,7,1,,10:35,35,2,
05_07_2015,15,SC,3,,Stegastes fasciolatus,7,7,,10:35,35,2,
05_07_2015,15,SC,3,,Gomphosus varius,8,1,,10:35,35,2,
05_07_2015,15,SC,3,,Labroides dimidiatus,8,2,,10:35,35,2,
05_07_2015,15,SC,3,,Labroides dimidiatus,5,1,,10:35,35,2,
05_07_2015,15,SC,3,,Pseudocheilinus hexataenia,4,1,,10:35,35,2,
05_07_2015,15,SC,3,,Pseudocheilinus hexataenia,6,1,,10:35,35,2,
05_07_2015,15,SC,3,,Thalassoma quinquevittatum,9,1,,10:35,35,2,
05_07_2015,15,SC,3,,Chlorurus sordidus,35,1,TP,10:35,35,2,
05_07_2015,15,SC,3,,Chlorurus sordidus,18,1,IP,10:35,35,2,
05_07_2015,15,SC,3,,Acanthurus nigricans,18,2,,10:35,35,2,
05_07_2015,15,SC,3,,Melichthys niger,20,12,,10:35,35,2,
05_07_2015,10,SC,1,,Cephalopholis argus,18,1,,15:30,33,3,
05_07_2015,10,SC,1,,Pseudanthias olivaceus,6,24,,15:30,33,3,
05_07_2015,10,SC,1,,Pseudanthias olivaceus,3,58,,15:30,33,3,
05_07_2015,10,SC,1,,Paracirrhites hemistictus,19,1,,15:30,33,3,
05_07_2015,10,SC,1,,Lutjanus bohar,20,1,,15:30,33,3,
05_07_2015,10,SC,1,,Lutjanus gibbus,26,1,,15:30,33,3,
05_07_2015,10,SC,1,,Centropyge loricula,4,2,,15:30,33,3,
05_07_2015,10,SC,1,,Chaetodon trifascialis,7,1,,15:30,33,3,
05_07_2015,10,SC,1,,Chromis margaritifer,3,33,,15:30,33,3,
05_07_2015,10,SC,1,,Chromis margaritifer,5,21,,15:30,33,3,
05_07_2015,10,SC,1,,Chromis margaritifer,4,10,,15:30,33,3,
05_07_2015,10,SC,1,,Chromis vanderbilti,7,26,,15:30,33,3,
05_07_2015,10,SC,1,,Chromis vanderbilti,11,3,,15:30,33,3,
05_07_2015,10,SC,1,,Plectroglyphidodon dickii,6,3,,15:30,33,3,
05_07_2015,10,SC,1,,Plectroglyphidodon dickii,8,1,,15:30,33,3,
05_07_2015,10,SC,1,,Plectroglyphidodon johnstonianus,5,1,,15:30,33,3,
05_07_2015,10,SC,1,,Pomacentrus coelestis,2,3,,15:30,33,3,
05_07_2015,10,SC,1,,Stegastes aureus,5,1,,15:30,33,3,
05_07_2015,10,SC,1,,labrid sp.,2,20,,15:30,33,3,
05_07_2015,10,SC,1,,Gomphosus varius,2,1,,15:30,33,3,
05_07_2015,10,SC,1,,Gomphosus varius,18,1,,15:30,33,3,
05_07_2015,10,SC,1,,Gomphosus varius,12,1,,15:30,33,3,
05_07_2015,10,SC,1,,Labroides dimidiatus,8,1,,15:30,33,3,
05_07_2015,10,SC,1,,Labroides rubrolabiatus,6,1,,15:30,33,3,
05_07_2015,10,SC,1,,Pseudocheilinus hexataenia,5,1,,15:30,33,3,
05_07_2015,10,SC,1,,Chlorurus sordidus,28,1,TP,15:30,33,3,
05_07_2015,10,SC,1,,Chlorurus sordidus,22,1,IP,15:30,33,3,
05_07_2015,10,SC,1,,Acanthurus nigricans,20,1,,15:30,33,3,
05_07_2015,10,SC,1,,Ctenochaetus marginatus,10,1,,15:30,33,3,
05_07_2015,10,SC,1,,Melichthys vidua,20,1,,15:30,33,3,
05_07_2015,10,SC,1,,Cantherhines dumerilii,20,1,,15:30,33,3,
05_07_2015,10,SC,2,,Cephalopholis urodeta,12,1,,15:45,33,3,
05_07_2015,10,SC,2,,Pseudanthias olivaceus,3,30,,15:45,33,3,
05_07_2015,10,SC,2,,Pseudanthias olivaceus,4,3,,15:45,33,3,
05_07_2015,10,SC,2,,Chanos chanos,80,2,,15:45,33,3,
05_07_2015,10,SC,2,,Pterocaesio tile,13,40,,15:45,33,3,
05_07_2015,10,SC,2,,Centropyge flavissima,6,2,,15:45,33,3,
05_07_2015,10,SC,2,,Chaetodon ephippium,12,1,,15:45,33,3,
05_07_2015,10,SC,2,,Chromis margaritifer,5,6,,15:45,33,3,
05_07_2015,10,SC,2,,Chromis margaritifer,2,26,,15:45,33,3,
05_07_2015,10,SC,2,,Chromis margaritifer,4,26,,15:45,33,3,
05_07_2015,10,SC,2,,Chromis margaritifer,3,36,,15:45,33,3,
05_07_2015,10,SC,2,,Chromis vanderbilti,3,2,,15:45,33,3,
05_07_2015,10,SC,2,,Plectroglyphidodon dickii,8,3,,15:45,33,3,
05_07_2015,10,SC,2,,Plectroglyphidodon dickii,6,4,,15:45,33,3,
