KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
4_07_2015,27,SD,1,,Pomacentrus coelestis,3,5,,09:12,36,2,
4_07_2015,27,SD,1,,Pomacentrus coelestis,2,4,,09:12,36,2,
4_07_2015,27,SD,1,,Pomacentrus coelestis,4,4,,09:12,36,2,
4_07_2015,27,SD,1,,Pomacentrus coelestis,5,3,,09:12,36,2,
4_07_2015,27,SD,1,,Coris Centralis,5,1,,09:12,36,2,
4_07_2015,27,SD,1,,Coris Centralis,8,1,,09:12,36,2,
4_07_2015,27,SD,1,,Pseudocheilinus octotaenia,4,1,,09:12,36,2,
4_07_2015,27,SD,1,,Thalassoma amblycephalum,2,1,,09:12,36,2,
4_07_2015,27,SD,1,,Thalassoma amblycephalum,4,1,,09:12,36,2,
4_07_2015,27,SD,1,,Scarus ghobban,25,1,,09:12,36,2,
4_07_2015,27,SD,1,,Scarus ghobban,27,2,,09:12,36,2,
4_07_2015,27,SD,1,,Acanthurus nigricauda,20,1,,09:12,36,2,
4_07_2015,27,SD,1,,Acanthurus olivaceus,22,2,,09:12,36,2,
4_07_2015,27,SD,1,,Acanthurus olivaceus,20,1,,09:12,36,2,
4_07_2015,27,SD,1,,Acanthurus flavicaudus,4,1,,09:12,36,2,
4_07_2015,27,SD,1,,Acanthurus flavicaudus,3,1,,09:12,36,2,
4_07_2015,27,SD,1,,Sufflamen chrysopterum,13,2,,09:12,36,2,
4_07_2015,27,SD,1,,Canthigaster solandri,7,2,,09:12,36,2,
4_07_2015,27,SD,2,,Epinephelus fasciatus,20,1,,09:12,36,2,
4_07_2015,27,SD,2,,Epinephelus fasciatus,17,4,,09:12,36,2,
4_07_2015,27,SD,2,,Epinephelus tauvina,23,1,,09:12,36,2,
4_07_2015,27,SD,2,,Chromis margaritifer,3,4,,09:12,36,2,
4_07_2015,27,SD,2,,Chromis margaritifer,5,3,,09:12,36,2,
4_07_2015,27,SD,2,,Pomacentrus coelestis,4,3,,09:12,36,2,
4_07_2015,27,SD,2,,Pomacentrus coelestis,2,5,,09:12,36,2,
4_07_2015,27,SD,2,,Pomacentrus coelestis,5,3,,09:12,36,2,
4_07_2015,27,SD,2,,Pomacentrus coelestis,3,5,,09:12,36,2,
4_07_2015,27,SD,2,,Coris Centralis,4,2,,09:12,36,2,
4_07_2015,27,SD,2,,Labroides dimidiatus,8,1,,09:12,36,2,
4_07_2015,27,SD,2,,Labroides dimidiatus,10,1,,09:12,36,2,
4_07_2015,27,SD,2,,Thalassoma amblycephalum,5,4,,09:12,36,2,
4_07_2015,27,SD,2,,Thalassoma amblycephalum,4,1,,09:12,36,2,
4_07_2015,27,SD,2,,Acanthurus olivaceus,21,2,,09:12,36,2,
4_07_2015,27,SD,2,,Acanthurus nigricauda,25,1,,09:12,36,2,
4_07_2015,27,SD,2,,Acanthurus nigricauda,21,1,,09:12,36,2,
4_07_2015,27,SD,2,,Odonus niger,21,1,,09:12,36,2,
4_07_2015,27,SD,3,,Pomacentrus coelestis,5,1,,09:12,36,2,
4_07_2015,27,SD,3,,Pomacentrus coelestis,4,3,,09:12,36,2,
4_07_2015,27,SD,3,,Pomacentrus coelestis,3,4,,09:12,36,2,
4_07_2015,27,SD,3,,Pomacentrus coelestis,2,2,,09:12,36,2,
4_07_2015,27,SD,3,,Coris Centralis,8,1,,09:12,36,2,
4_07_2015,27,SD,3,,Thalassoma amblycephalum,6,5,,09:12,36,2,
4_07_2015,27,SD,3,,Thalassoma amblycephalum,4,3,,09:12,36,2,
4_07_2015,27,SD,3,,Thalassoma amblycephalum,7,5,,09:12,36,2,
4_07_2015,27,SD,3,,Thalassoma amblycephalum,2,3,,09:12,36,2,
4_07_2015,27,SD,3,,Odonus niger,11,1,,09:12,36,2,
4_07_2015,27,SD,3,,Sufflamen chrysopterum,13,1,,09:12,36,2,
4_07_2015,27,SD,3,,Ptereleotris microlepis,6,2,,09:12,36,2,
4_07_2015,27,SD,3,,Ptereleotris microlepis,4,1,,09:12,36,2,
5_07_2015,15,SD,1,,Paracirrhites forsteri,12,1,,10:05,36,2,
5_07_2015,15,SD,1,,Aphareus furca,21,2,,10:05,36,2,
5_07_2015,15,SD,1,,Chromis margaritifer,6,5,,10:05,36,2,
5_07_2015,15,SD,1,,Chromis margaritifer,3,4,,10:05,36,2,
5_07_2015,15,SD,1,,Chromis margaritifer,4,6,,10:05,36,2,
5_07_2015,15,SD,1,,Chromis vanderbilti,4,5,,10:05,36,2,
5_07_2015,15,SD,1,,Chromis vanderbilti,5,2,,10:05,36,2,
5_07_2015,15,SD,1,,Chromis vanderbilti,2,1,,10:05,36,2,
5_07_2015,15,SD,1,,Plectroglyphidodon dickii,9,2,,10:05,36,2,
5_07_2015,15,SD,1,,Plectroglyphidodon dickii,7,3,,10:05,36,2,
5_07_2015,15,SD,1,,Plectroglyphidodon dickii,4,3,,10:05,36,2,
5_07_2015,15,SD,1,,Plectroglyphidodon dickii,6,1,,10:05,36,2,
5_07_2015,15,SD,1,,Plectroglyphidodon johnstonianus,6,3,,10:05,36,2,
5_07_2015,15,SD,1,,Plectroglyphidodon johnstonianus,4,1,,10:05,36,2,
5_07_2015,15,SD,1,,Stegastes aureus,6,1,,10:05,36,2,
5_07_2015,15,SD,1,,Stegastes fasciolatus,9,2,,10:05,36,2,
5_07_2015,15,SD,1,,Stegastes fasciolatus,8,1,,10:05,36,2,
5_07_2015,15,SD,1,,Stegastes fasciolatus,7,1,,10:05,36,2,
5_07_2015,15,SD,1,,Gomphosus varius,3,1,IP,10:05,36,2,
5_07_2015,15,SD,1,,Gomphosus varius,7,2,IP,10:05,36,2,
5_07_2015,15,SD,1,,Pseudocheilinus hexataenia,6,1,,10:05,36,2,
5_07_2015,15,SD,1,,Chlorurus sordidus,24,1,TP,10:05,36,2,
5_07_2015,15,SD,1,,Ctenochaetus marginatus,13,1,,10:05,36,2,
5_07_2015,15,SD,2,,Cephalopholis urodeta,14,1,,10:20,36,2,
5_07_2015,15,SD,2,,Lutjanus bohar,50,1,,10:20,36,2,
5_07_2015,15,SD,2,,Chromis margaritifer,6,4,,10:20,36,2,
5_07_2015,15,SD,2,,Chromis margaritifer,5,4,,10:20,36,2,
5_07_2015,15,SD,2,,Chromis margaritifer,3,3,,10:20,36,2,
5_07_2015,15,SD,2,,Chromis margaritifer,2,2,,10:20,36,2,
5_07_2015,15,SD,2,,Chromis margaritifer,4,8,,10:20,36,2,
5_07_2015,15,SD,2,,Chromis vanderbilti,4,2,,10:20,36,2,
5_07_2015,15,SD,2,,Chromis vanderbilti,3,2,,10:20,36,2,
5_07_2015,15,SD,2,,Plectroglyphidodon dickii,5,3,,10:20,36,2,
5_07_2015,15,SD,2,,Plectroglyphidodon dickii,8,2,,10:20,36,2,
5_07_2015,15,SD,2,,Plectroglyphidodon dickii,3,1,,10:20,36,2,
5_07_2015,15,SD,2,,Plectroglyphidodon johnstonianus,4,1,,10:20,36,2,
5_07_2015,15,SD,2,,Stegastes aureus,6,1,,10:20,36,2,
5_07_2015,15,SD,2,,Stegastes fasciolatus,7,4,,10:20,36,2,
5_07_2015,15,SD,2,,Stegastes fasciolatus,6,2,,10:20,36,2,
5_07_2015,15,SD,2,,Gomphosus varius,6,1,IP,10:20,36,2,
5_07_2015,15,SD,2,,Labroides dimidiatus,12,2,,10:20,36,2,
5_07_2015,15,SD,2,,Labroides dimidiatus,9,2,,10:20,36,2,
5_07_2015,15,SD,2,,Labroides dimidiatus,10,1,,10:20,36,2,
5_07_2015,15,SD,2,,Oxycheilinus unifasciatus,22,1,,10:20,36,2,
5_07_2015,15,SD,2,,Pseudocheilinus hexataenia,4,2,,10:20,36,2,
5_07_2015,15,SD,2,,Pseudocheilinus hexataenia,6,1,,10:20,36,2,
5_07_2015,15,SD,2,,Chlorurus sordidus,18,1,TP,10:20,36,2,
5_07_2015,15,SD,2,,Scarus tricolor,21,1,TP,10:20,36,2,
5_07_2015,15,SD,3,,Cephalopholis urodeta,15,1,,10:35,36,2,
5_07_2015,15,SD,3,,Paracirrhites xanthus?,12,1,,10:35,36,2,
5_07_2015,15,SD,3,,Lutjanus bohar,19,1,,10:35,36,2,
5_07_2015,15,SD,3,,Pterocaesio tile,20,60,,10:35,36,2,
5_07_2015,15,SD,3,,Chromis margaritifer,6,1,,10:35,36,2,
5_07_2015,15,SD,3,,Chromis margaritifer,3,6,,10:35,36,2,
5_07_2015,15,SD,3,,Chromis margaritifer,5,2,,10:35,36,2,
5_07_2015,15,SD,3,,Chromis margaritifer,4,9,,10:35,36,2,
