DATE,Plot Name,year,hum_dist,site,plot,User Processing files,DEM & ORTHO UPLOAD COMPLETE,DEM.scale,PLOT SHAPEFILE CREATED,PLOT AREA DIGITIZED,CLIP DEM RASTER TO SHAPEFILE AREA FOR STRUCTURAL ANALYSES,OBJECTID *,SHAPE *,SHAPE_Length,SHAPE_Area,Z_Min,Z_Max,Z_Mean,SArea,Min_Slope,Max_Slope,Avg_Slope,Complexity Calculation,surface.rugosity,CREATE BTM SLOPE RASTER,slope,CREATE BTM VRM RASTER,Avg_terrain_ruggedness (VRM),CREATE CURVATURE RASTERS,average.curvature,profile.curvature,planform.curvature
,KI19_Site5_MPQ1,2019,Very Low,5,1,KB,X,1,X,X,X,1,Polygon,16,16,-2.551068,-1.233924,-1.888098,37.61888,0.272143,10000,632.436776,2.350186752,2.350186752,X,43.73005123,X,0.083409562,X,6.671647889,135.072582,141.7442333
,KI19_Site5_MPQ2,2019,Very Low,5,2,KB,X,1,X,X,X,1,Polygon,16.431786,16.023377,-3.192359,-1.855547,-2.491666,31.82561,0.41209,10000,448.716213,1.986198665,1.986198665,X,40.72991937,X,0.068764608,X,12.99000705,-9.981581204,3.008426517
,KI19_Site5_MPQ3,2019,Very Low,5,3,KB,X,1,X,X,X,1,Polygon,16.170066,16.016105,-2.01707,-1.189129,-1.599941,30.956087,0.172166,10000,317.239206,1.932809943,1.932809943,X,42.37309409,X,0.066950332,X,-4.194255967,22.86645826,18.67220393
,KI19_Site27_MPQ1,2019,Very High,27,1,KB,X,1,X,X,X,1,Polygon,16.382541,15.998233,-1.005335,-0.139352,-0.689413,25.048084,0,10000,190.351331,1.56567816,1.56567816,X,36.62276366,X,0.055895163,X,7.374516532,221.80973,229.1842473
,KI19_Site27_MPQ2,2019,Very High,27,2,KB,X,1,X,X,X,1,Polygon,16.027023,16.00581,-1.884018,-0.77922,-1.368925,25.094366,0.734765,10000,213.684296,1.567828557,1.567828557,X,34.9261616,X,0.048969717,X,21.52294898,244.9651845,266.4881331
,KI19_Site27_MPQ3,2019,Very High,27,3,KB,X,1,X,X,X,1,Polygon,16.070617,16.007292,-1.359392,-0.484602,-0.987124,21.466424,0.280014,10000,123.44768,1.341040321,1.341040321,X,29.51600268,X,0.039563642,X,-0.88430525,383.4515516,382.5672463
,KI19_Site8_MPQ1,2019,Medium,8,1,KB,X,1,X,X,X,1,Polygon,16.017036,16.012047,-2.777036,-1.723567,-2.290645,27.354625,0.057227,10000,254.892798,1.708377761,1.708377761,X,38.98552356,X,0.055543363,X,25.39155112,132.9533822,158.3449323
,KI19_Site8_MPQ2,2019,Medium,8,2,KB,X,1,X,X,X,1,Polygon,16.011506,15.999096,-2.095248,-1.08009,-1.778052,26.538354,0.163113,10000,249.524913,1.658740844,1.658740844,X,42.62130874,X,0.071568561,X,39.30504307,-70.47534171,-31.17029783
,KI19_Site8_MPQ3,2019,Medium,8,3,KB,X,1,X,X,X,1,Polygon,16.172777,16.016577,-2.575125,-1.043561,-1.839923,25.936786,0.222542,10000,250.345515,1.619371355,1.619371355,X,35.25626227,X,0.04051772,X,0.024818634,155.0433636,155.0681825
,KI17_Site5_MPQ1,2017,Very Low,5,1,KB,X,1,X,X,X,1,Polygon,16.082784,16.006397,3.1538,4.88256,4.104826,30.738906,0.076315,10000,375.385453,1.92041382,1.92041382,X,40.54795324,X,0.042792478,X,-10.00334932,99.75357478,89.75022762
