hum_dist,timepoint,site,mpq,volume.change,,,,,,,,,,,,,,,,,,,,,,
Very Low,A,5,1,-0.311,,,,,,,,,,,,,,,,,,,,,,
Very Low,B,5,1,-0.236,,,,,,,,,,,,,,,,,,,,,,
Very Low,C,5,1,-0.547,,,,,,,,,,,,,,,,,,,,,,
Very Low,A,5,2,0.892,,,,,,,,,,,,,,,,,,,,,,
Very Low,B,5,2,-0.639,,,,,,,,,,,,,,,,,,,,,,
Very Low,C,5,2,0.253,,,,,,,,,,,,,,,,,,,,,,
Very Low,A,5,3,0.428,,,,,,,,,,,,,,,,,,,,,,
Very Low,B,5,3,-1.070,,,,,,,,,,,,,,,,,,,,,,
Very Low,C,5,3,-0.642,,,,,,,,,,,,,,,,,,,,,,
Medium,A,8,1,-0.068,,,,,,,,,,,,,,,,,,,,,,
Medium,B,8,1,-0.7673,,,,,,,,,,,,,,,,,,,,,,
Medium,C,8,1,-0.8353,,,,,,,,,,,,,,,,,,,,,,
Medium,A,8,2,-0.013,,,,,,,,,,,,,,,,,,,,,,
Medium,B,8,2,0.009,,,,,,,,,,,,,,,,,,,,,,
Medium,C,8,2,-0.004,,,,,,,,,,,,,,,,,,,,,,
Medium,A,8,3,0.002,,,,,,,,,,,,,,,,,,,,,,
Medium,B,8,3,-0.14,,,,,,,,,,,,,,,,,,,,,,
Medium,C,8,3,-0.138,,,,,,,,,,,,,,,,,,,,,,
Very High,A,27,1,-0.583,,,,,,,,,,,,,,,,,,,,,,
Very High,B,27,1,0.138,,,,,,,,,,,,,,,,,,,,,,
Very High,C,27,1,-0.445,,,,,,,,,,,,,,,,,,,,,,
Very High,A,27,2,-1.018,,,,,,,,,,,,,,,,,,,,,,
Very High,B,27,2,0.451,,,,,,,,,,,,,,,,,,,,,,
Very High,C,27,2,-0.567,,,,,,,,,,,,,,,,,,,,,,
Very High,A,27,3,-0.107,,,,,,,,,,,,,,,,,,,,,,
Very High,B,27,3,-0.067,,,,,,,,,,,,,,,,,,,,,,
Very High,C,27,3,-0.174,,,,,,,,,,,,,,,,,,,,,,
Very Low,B,37,1,0.047,,,,,,,,,,,,,,,,,,,,,,
Very Low,B,37,2,0.067,,,,,,,,,,,,,,,,,,,,,,
Very Low,B,37,3,0.145,,,,,,,,,,,,,,,,,,,,,,
Very Low,A,15,1,-0.688,,,,,,,,,,,,,,,,,,,,,,
Very Low,A,15,2,-1.348,,,,,,,,,,,,,,,,,,,,,,
Very Low,A,15,3,-0.646,,,,,,,,,,,,,,,,,,,,,,
Very Low,A,19,1,-0.063,,,,,,,,,,,,,,,,,,,,,,
Very Low,A,19,2,-0.626,,,,,,,,,,,,,,,,,,,,,,
Very High,A,30,1,-1.096,,,,,,,,,,,,,,,,,,,,,,
Very High,B,30,1,-1.245,,,,,,,,,,,,,,,,,,,,,,
Very High,C,30,1,-2.341,,,,,,,,,,,,,,,,,,,,,,
Very High,A,30,2,0.101,,,,,,,,,,,,,,,,,,,,,,
Very High,B,30,2,0.014,,,,,,,,,,,,,,,,,,,,,,
Very High,C,30,2,0.115,,,,,,,,,,,,,,,,,,,,,,
Very High,A,30,3,0.419,,,,,,,,,,,,,,,,,,,,,,
Very High,B,30,3,0.094,,,,,,,,,,,,,,,,,,,,,,
Very High,C,30,3,0.513,,,,,,,,,,,,,,,,,,,,,,
Very High,A,32,1,-1.365,,,,,,,,,,,,,,,,,,,,,,
Very High,B,32,1,0.641,,,,,,,,,,,,,,,,,,,,,,
Very High,C,32,1,-0.724,,,,,,,,,,,,,,,,,,,,,,
Very High,A,32,2,-0.273,,,,,,,,,,,,,,,,,,,,,,
Very High,B,32,2,-0.122,,,,,,,,,,,,,,,,,,,,,,
Very High,C,32,2,-0.395,,,,,,,,,,,,,,,,,,,,,,
Very High,A,32,3,-0.099,,,,,,,,,,,,,,,,,,,,,,
Very High,B,32,3,-0.225,,,,,,,,,,,,,,,,,,,,,,
Very High,C,32,3,-0.324,,,,,,,,,,,,,,,,,,,,,,
Medium,A,34,1,0.18,,,,,,,,,,,,,,,,,,,,,,
Medium,B,34,1,0.03,,,,,,,,,,,,,,,,,,,,,,
Medium,C,34,1,0.21,,,,,,,,,,,,,,,,,,,,,,
Medium,A,34,2,-0.016,,,,,,,,,,,,,,,,,,,,,,
Medium,B,34,2,-0.049,,,,,,,,,,,,,,,,,,,,,,
Medium,C,34,2,-0.065,,,,,,,,,,,,,,,,,,,,,,
Medium,A,34,3,-0.043,,,,,,,,,,,,,,,,,,,,,,
Medium,B,34,3,0.075,,,,,,,,,,,,,,,,,,,,,,
Medium,C,34,3,0.032,,,,,,,,,,,,,,,,,,,,,,
Medium,A,35,1,-0.005,,,,,,,,,,,,,,,,,,,,,,
Medium,B,35,1,0.115,,,,,,,,,,,,,,,,,,,,,,
Medium,C,35,1,0.11,,,,,,,,,,,,,,,,,,,,,,
Medium,A,35,2,-0.126,,,,,,,,,,,,,,,,,,,,,,
Medium,B,35,2,0.048,,,,,,,,,,,,,,,,,,,,,,
Medium,C,35,2,-0.078,,,,,,,,,,,,,,,,,,,,,,
Medium,A,35,3,0.288,,,,,,,,,,,,,,,,,,,,,,
Medium,B,35,3,-0.355,,,,,,,,,,,,,,,,,,,,,,
Medium,C,35,3,-0.067,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
