"region","timepoint","hum_dist","site","pub.site","mpq","volume.change","ID","timeblock"
"Vaskes","2015-2017","Very Low","5","VL3","1",-0.311,"VL3.1","1"
"Vaskes","2015-2017","Very Low","5","VL3","2",-0.207,"VL3.2","1"
"Vaskes","2015-2017","Very Low","5","VL3","3",-0.428,"VL3.3","1"
"S.Lagoon","2015-2017","Medium","8","M1","1",-0.068,"M1.1","1"
"S.Lagoon","2015-2017","Medium","8","M1","2",-0.013,"M1.2","1"
"S.Lagoon","2015-2017","Medium","8","M1","3",0.002,"M1.3","1"
"BOW","2015-2017","Very Low","15","VL1","1",-0.688,"VL1.1","1"
"BOW","2015-2017","Very Low","15","VL1","2",-1.348,"VL1.2","1"
"BOW","2015-2017","Very Low","15","VL1","3",-0.646,"VL1.3","1"
"BOW","2015-2017","Very Low","19","VL2","1",-0.063,"VL2.1","1"
"BOW","2015-2017","Very Low","19","VL2","2",-0.626,"VL2.2","1"
"N.Lagoon","2015-2017","Very High","27","VH1","1",-0.583,"VH1.1","1"
"N.Lagoon","2015-2017","Very High","27","VH1","2",-1.018,"VH1.2","1"
"N.Lagoon","2015-2017","Very High","27","VH1","3",-0.107,"VH1.3","1"
"N.Lagoon","2015-2017","Very High","30","VH3","1",-1.096,"VH3.1","1"
"N.Lagoon","2015-2017","Very High","30","VH3","2",0.101,"VH3.2","1"
"N.Lagoon","2015-2017","Very High","30","VH3","3",0.419,"VH3.3","1"
"N.Lagoon","2015-2017","Very High","32","VH2","1",-1.365,"VH2.1","1"
"N.Lagoon","2015-2017","Very High","32","VH2","2",-0.273,"VH2.2","1"
"N.Lagoon","2015-2017","Very High","32","VH2","3",-0.099,"VH2.3","1"
"S.Lagoon","2015-2017","Medium","34","M3","1",0.18,"M3.1","1"
"S.Lagoon","2015-2017","Medium","34","M3","2",-0.016,"M3.2","1"
"S.Lagoon","2015-2017","Medium","34","M3","3",-0.043,"M3.3","1"
"S.Lagoon","2015-2017","Medium","35","M2","1",-0.005,"M2.1","1"
"S.Lagoon","2015-2017","Medium","35","M2","2",-0.126,"M2.2","1"
"S.Lagoon","2015-2017","Medium","35","M2","3",0.288,"M2.3","1"
